No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,matter,1681,0.85,69,179,5.35
2,that,43146,21.76,1190,276,4.77
3,they,7189,3.63,55,274,2.92
4,in,111135,56.06,632,277,2.50
5,this,27230,13.73,145,276,2.40
6,there,8377,4.23,40,273,2.24
7,by,39894,20.12,176,278,2.13
8,from,27483,13.86,101,277,1.87
9,we,17186,8.67,57,260,1.72
10,it,33275,16.78,101,276,1.59
11,the,451173,227.57,1311,277,1.53
12,to,91726,46.27,209,277,1.18
13,is,70334,35.48,122,277,0.78
14,which,32806,16.55,52,276,0.65
15,the,451173,227.57,701,277,0.62
16,is,70334,35.48,103,277,0.54
17,with,33045,16.67,43,277,0.37
18,in,111135,56.06,132,277,0.24
19,be,37214,18.77,44,277,0.23
20,as,38839,19.59,40,276,0.03
21,a,103954,52.43,99,278,-0.08
22,a,103954,52.43,98,278,-0.10
23,by,39894,20.12,37,278,-0.12
24,of,255698,128.97,213,278,-0.28
25,and,108394,54.67,84,278,-0.38
26,to,91726,46.27,59,277,-0.65
27,of,255698,128.97,90,278,-1.52
