No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,matter,396,0.20,27,120,6.08
2,that,24878,12.50,847,180,5.08
3,they,4674,2.35,28,170,2.58
4,in,73576,36.96,403,180,2.45
5,by,23112,11.61,116,180,2.32
6,there,5303,2.66,24,177,2.17
7,this,17185,8.63,67,180,1.96
8,it,18569,9.33,67,180,1.84
9,from,18599,9.34,66,180,1.82
10,the,267719,134.47,850,181,1.66
11,we,8947,4.49,25,169,1.48
12,to,52134,26.19,136,180,1.38
13,which,18542,9.31,41,180,1.14
14,is,45882,23.05,92,180,1.00
15,for,16639,8.36,28,180,0.74
16,the,267719,134.47,438,181,0.70
17,with,19800,9.95,26,180,0.39
18,be,19395,9.74,24,180,0.30
19,is,45882,23.05,56,180,0.28
20,in,73576,36.96,88,180,0.25
21,and,72190,36.26,73,181,0.01
22,of,150288,75.49,136,181,-0.15
23,a,62461,31.37,55,180,-0.19
24,a,62461,31.37,53,180,-0.24
25,to,52134,26.19,26,180,-1.01
26,of,150288,75.49,43,181,-1.81
