No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,propriety,26,0.00,2,11,9.69
2,therein,69,0.00,3,26,8.87
3,supported,68,0.00,2,43,8.31
4,contained,179,0.01,2,69,6.91
5,compared,199,0.01,2,56,6.76
6,mentioned,346,0.02,3,120,6.54
7,however,361,0.02,2,77,5.90
8,over,505,0.02,2,191,5.41
9,experiments,561,0.03,2,91,5.26
10,different,743,0.03,2,211,4.86
11,these,2367,0.11,6,332,4.77
12,those,1217,0.06,3,251,4.73
13,them,2112,0.10,2,291,3.35
14,some,2277,0.11,2,359,3.24
15,which,7954,0.37,6,418,3.02
16,from,6906,0.32,4,438,2.64
17,have,3955,0.18,2,394,2.44
18,or,4986,0.23,2,385,2.11
19,i,7531,0.35,3,425,2.10
20,and,23208,1.08,7,441,1.70
21,of,42018,1.95,12,462,1.62
22,that,10835,0.50,3,414,1.58
23,be,7629,0.35,2,409,1.50
24,by,7751,0.36,2,451,1.47
25,the,74940,3.48,14,463,1.01
26,and,23208,1.08,3,441,0.48
27,the,74940,3.48,4,463,-0.80
