No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,foregoing,302,0.04,7,112,6.47
2,important,531,0.07,8,166,5.85
3,mentioned,532,0.07,8,117,5.85
4,known,946,0.12,8,194,5.02
5,these,8119,1.06,65,283,4.94
6,appear,1183,0.15,8,203,4.70
7,several,1356,0.18,7,232,4.31
8,many,1391,0.18,7,210,4.27
9,following,2731,0.36,9,271,3.66
10,observed,2171,0.28,7,230,3.63
11,now,2377,0.31,7,269,3.50
12,have,11172,1.46,26,295,3.16
13,all,5228,0.68,9,280,2.72
14,from,18808,2.45,31,300,2.66
15,which,25784,3.36,36,300,2.42
16,we,9893,1.29,12,263,2.22
17,other,6306,0.82,7,290,2.09
18,i,12695,1.66,13,289,1.97
19,that,27504,3.59,28,296,1.96
20,are,17272,2.25,16,294,1.83
21,the,283287,36.96,193,304,1.38
22,or,14055,1.83,9,295,1.30
23,to,61416,8.01,32,301,1.00
24,with,22576,2.95,11,300,0.90
25,with,22576,2.95,11,300,0.90
26,it,22899,2.99,10,296,0.74
27,in,74291,9.69,32,303,0.72
28,at,16758,2.19,7,299,0.68
29,by,27351,3.57,11,304,0.62
30,of,178809,23.33,63,304,0.43
31,be,25626,3.34,9,299,0.43
32,is,37158,4.85,13,297,0.42
33,as,23326,3.04,8,298,0.39
34,that,27504,3.59,8,296,0.16
35,to,61416,8.01,16,301,-0.00
36,and,74498,9.72,19,304,-0.03
37,the,283287,36.96,45,304,-0.72
38,and,74498,9.72,11,304,-0.82
39,of,178809,23.33,25,304,-0.90
