No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,stated,168,0.03,9,279,6.17
2,many,617,0.11,11,279,4.58
3,new,795,0.15,10,279,4.08
4,these,2626,0.49,32,279,4.04
5,some,1705,0.32,11,279,3.12
6,have,5172,0.96,24,279,2.64
7,been,2919,0.54,13,279,2.58
8,which,10394,1.93,42,279,2.44
9,other,2357,0.44,8,279,2.19
10,that,11347,2.11,29,279,1.78
11,from,7152,1.33,16,279,1.59
12,are,4899,0.91,10,279,1.46
13,i,7486,1.39,15,279,1.43
14,are,4899,0.91,8,279,1.14
15,to,24110,4.48,33,279,0.88
16,with,7169,1.33,9,279,0.76
17,it,10938,2.03,13,279,0.68
18,the,97493,18.11,104,279,0.52
19,this,7506,1.39,8,279,0.52
20,of,61339,11.39,65,279,0.51
21,as,7896,1.47,8,279,0.45
22,that,11347,2.11,10,279,0.25
23,in,23927,4.44,20,279,0.17
24,a,22218,4.13,17,279,0.04
25,be,10524,1.95,8,279,0.03
26,by,11139,2.07,8,279,-0.05
27,by,11139,2.07,8,279,-0.05
28,and,25627,4.76,18,279,-0.08
29,to,24110,4.48,16,279,-0.16
30,and,25627,4.76,17,279,-0.16
31,of,61339,11.39,30,279,-0.60
32,the,97493,18.11,47,279,-0.62
33,in,23927,4.44,9,279,-0.98
34,a,22218,4.13,8,279,-1.05
