No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,stated,517,0.14,22,270,5.28
2,many,1326,0.36,18,270,3.63
3,these,6475,1.78,85,270,3.58
4,such,2288,0.63,17,270,2.76
5,have,8800,2.41,46,270,2.25
6,some,2941,0.81,15,270,2.22
7,all,4017,1.10,20,270,2.18
8,i,11942,3.28,54,270,2.04
9,from,13665,3.75,57,270,1.93
10,which,20250,5.55,84,270,1.92
11,are,11060,3.03,44,270,1.86
12,been,5282,1.45,21,270,1.86
13,other,5288,1.45,17,270,1.55
14,that,21199,5.82,58,270,1.32
15,we,5998,1.65,16,270,1.28
16,with,15452,4.24,36,270,1.09
17,but,7824,2.15,18,270,1.07
18,to,45102,12.37,92,270,0.89
19,with,15452,4.24,31,270,0.87
20,in,52123,14.30,101,270,0.82
21,be,17621,4.83,33,270,0.77
22,are,11060,3.03,20,270,0.72
23,this,12854,3.53,22,270,0.64
24,the,203070,55.70,341,270,0.61
25,by,19096,5.24,32,270,0.61
26,by,19096,5.24,31,270,0.57
27,it,19595,5.38,31,270,0.53
28,on,13620,3.74,20,270,0.42
29,as,17157,4.71,25,270,0.41
30,of,116031,31.83,169,270,0.41
31,to,45102,12.37,50,270,0.01
32,as,17157,4.71,19,270,0.01
33,and,52116,14.30,57,270,-0.00
34,that,21199,5.82,22,270,-0.08
35,is,24611,6.75,22,270,-0.30
36,the,203070,55.70,171,270,-0.38
37,and,52116,14.30,33,270,-0.79
38,a,39801,10.92,25,270,-0.80
39,in,52123,14.30,30,270,-0.93
40,of,116031,31.83,64,270,-0.99
41,a,39801,10.92,21,270,-1.06
