No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,prove,171,0.05,9,244,5.47
2,stated,213,0.06,10,244,5.30
3,respecting,164,0.05,7,244,5.17
4,chemical,377,0.11,8,244,4.16
5,appear,501,0.15,10,244,4.07
6,new,664,0.20,13,244,4.04
7,preceding,366,0.11,7,244,4.01
8,many,683,0.20,13,244,4.00
9,general,580,0.17,11,244,3.99
10,these,2718,0.81,43,244,3.73
11,number,617,0.18,7,244,3.25
12,been,3400,1.01,27,244,2.74
13,have,5054,1.50,35,244,2.54
14,some,2007,0.60,12,244,2.33
15,other,2380,0.71,13,244,2.20
16,are,4525,1.35,23,244,2.10
17,all,1723,0.51,8,244,1.96
18,which,10778,3.21,48,244,1.90
19,they,2137,0.64,8,244,1.65
20,that,11601,3.45,43,244,1.64
21,upon,1936,0.58,7,244,1.60
22,from,7084,2.11,25,244,1.57
23,i,7401,2.20,22,244,1.32
24,are,4525,1.35,12,244,1.16
25,to,22861,6.80,57,244,1.07
26,may,2938,0.87,7,244,1.00
27,with,7660,2.28,17,244,0.90
28,not,4681,1.39,10,244,0.84
29,by,10813,3.22,23,244,0.84
30,the,88639,26.36,167,244,0.66
31,or,4298,1.28,8,244,0.65
32,as,7591,2.26,13,244,0.53
33,this,7097,2.11,12,244,0.51
34,in,22970,6.83,38,244,0.48
35,to,22861,6.80,36,244,0.40
36,it,11437,3.40,17,244,0.32
37,of,60066,17.86,84,244,0.23
38,be,9956,2.96,13,244,0.13
39,with,7660,2.28,10,244,0.13
40,and,25589,7.61,31,244,0.03
41,by,10813,3.22,13,244,0.02
42,and,25589,7.61,26,244,-0.23
43,as,7591,2.26,7,244,-0.37
44,be,9956,2.96,9,244,-0.40
45,a,20609,6.13,18,244,-0.45
46,the,88639,26.36,76,244,-0.47
47,is,11872,3.53,10,244,-0.50
48,of,60066,17.86,46,244,-0.64
49,that,11601,3.45,8,244,-0.79
50,a,20609,6.13,9,244,-1.45
51,in,22970,6.83,8,244,-1.77
