No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,stated,231,0.07,12,226,5.46
2,prove,197,0.06,10,226,5.42
3,new,661,0.20,15,226,4.26
4,many,724,0.21,13,226,3.92
5,appear,543,0.16,9,226,3.81
6,general,633,0.19,10,226,3.74
7,these,2804,0.83,43,226,3.70
8,number,615,0.18,8,226,3.46
9,been,3599,1.07,28,226,2.72
10,have,5266,1.56,39,226,2.65
11,some,2080,0.62,14,226,2.51
12,are,4645,1.37,23,226,2.06
13,other,2488,0.74,12,226,2.03
14,all,1801,0.53,8,226,1.91
15,which,11291,3.34,49,226,1.87
16,that,12293,3.64,48,226,1.72
17,they,2191,0.65,8,226,1.63
18,from,7420,2.20,26,226,1.57
19,i,7640,2.26,24,226,1.41
20,to,23826,7.05,57,226,1.02
21,are,4645,1.37,11,226,1.00
22,or,4492,1.33,10,226,0.91
23,not,5007,1.48,11,226,0.89
24,by,11335,3.35,23,226,0.78
25,the,93504,27.67,178,226,0.69
26,as,7979,2.36,15,226,0.67
27,with,8231,2.44,15,226,0.62
28,but,4802,1.42,8,226,0.49
29,to,23826,7.05,39,226,0.47
30,this,7347,2.17,12,226,0.46
31,in,23934,7.08,37,226,0.39
32,with,8231,2.44,12,226,0.30
33,it,12017,3.56,17,226,0.26
34,of,63360,18.75,88,226,0.23
35,by,11335,3.35,15,226,0.16
36,and,27093,8.02,35,226,0.13
37,as,7979,2.36,10,226,0.08
38,be,10514,3.11,13,226,0.06
39,and,27093,8.02,26,226,-0.30
40,a,21080,6.24,20,226,-0.32
41,the,93504,27.67,81,226,-0.45
42,be,10514,3.11,9,226,-0.47
43,is,12284,3.64,10,226,-0.54
44,that,12293,3.64,10,226,-0.54
45,of,63360,18.75,48,226,-0.64
46,a,21080,6.24,9,226,-1.47
47,in,23934,7.08,8,226,-1.82
