No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,stated,163,0.03,9,289,6.25
2,many,599,0.11,11,289,4.66
3,these,2650,0.48,33,289,4.10
4,new,809,0.15,10,289,4.09
5,some,1685,0.31,12,289,3.29
6,have,5019,0.91,25,289,2.78
7,been,2892,0.52,14,289,2.74
8,which,10267,1.86,42,289,2.49
9,that,11194,2.03,28,289,1.79
10,from,7235,1.31,17,289,1.69
11,are,4967,0.90,9,289,1.32
12,i,7197,1.31,13,289,1.32
13,or,4597,0.83,8,289,1.26
14,to,24125,4.38,32,289,0.87
15,it,11034,2.00,13,289,0.70
16,with,7232,1.31,8,289,0.61
17,the,99056,17.97,103,289,0.52
18,as,8060,1.46,8,289,0.45
19,of,62487,11.34,62,289,0.45
20,that,11194,2.03,10,289,0.30
21,be,10420,1.89,9,289,0.25
22,in,23882,4.33,19,289,0.13
23,and,25990,4.72,19,289,0.01
24,by,11192,2.03,8,289,-0.02
25,by,11192,2.03,8,289,-0.02
26,a,22405,4.07,14,289,-0.22
27,and,25990,4.72,16,289,-0.24
28,to,24125,4.38,14,289,-0.32
29,the,99056,17.97,49,289,-0.55
30,of,62487,11.34,30,289,-0.60
31,in,23882,4.33,9,289,-0.95
