No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,these,3358,0.47,26,237,3.79
2,some,2429,0.34,16,237,3.56
3,have,5640,0.79,23,237,2.86
4,are,6107,0.86,15,237,2.13
5,which,13252,1.86,28,237,1.91
6,i,9549,1.34,18,237,1.75
7,that,14448,2.02,24,237,1.57
8,this,9269,1.30,11,237,1.08
9,from,9599,1.34,11,237,1.03
10,with,9370,1.31,10,237,0.93
11,it,14677,2.06,15,237,0.87
12,to,30718,4.30,31,237,0.85
13,of,71442,10.01,61,237,0.61
14,in,28125,3.94,24,237,0.61
15,to,30718,4.30,25,237,0.54
16,the,116131,16.27,83,237,0.35
17,and,32257,4.52,21,237,0.22
18,a,26270,3.68,17,237,0.21
19,the,116131,16.27,52,237,-0.32
20,of,71442,10.01,30,237,-0.42
21,and,32257,4.52,13,237,-0.48
