No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,these,11217,1.78,101,268,3.83
2,two,9662,1.53,34,268,2.47
3,are,27154,4.30,71,268,2.05
4,have,15076,2.39,39,268,2.03
5,which,32001,5.07,71,268,1.81
6,with,30737,4.87,46,268,1.24
7,that,40778,6.46,58,268,1.17
8,to,84940,13.45,108,268,1.01
9,it,31928,5.06,37,268,0.87
10,with,30737,4.87,33,268,0.76
11,the,421976,66.82,434,268,0.70
12,be,33727,5.34,32,268,0.58
13,as,36482,5.78,33,268,0.51
14,in,103998,16.47,88,268,0.42
15,of,235353,37.27,187,268,0.33
16,to,84940,13.45,64,268,0.25
17,and,102108,16.17,61,268,-0.08
18,of,235353,37.27,118,268,-0.34
19,the,421976,66.82,201,268,-0.41
20,and,102108,16.17,40,268,-0.69
21,in,103998,16.47,33,268,-1.00
