No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,stated,247,0.07,11,228,5.36
2,prove,207,0.06,9,228,5.33
3,new,718,0.19,15,228,4.27
4,many,814,0.22,12,228,3.77
5,general,657,0.18,9,228,3.66
6,these,2975,0.81,38,228,3.56
7,number,635,0.17,8,228,3.54
8,been,3745,1.02,27,228,2.73
9,some,2223,0.60,16,228,2.73
10,have,5575,1.51,38,228,2.65
11,other,2740,0.74,12,228,2.01
12,are,5336,1.45,23,228,1.99
13,all,1880,0.51,8,228,1.97
14,which,12049,3.27,47,228,1.85
15,they,2547,0.69,9,228,1.70
16,that,12931,3.51,44,228,1.65
17,from,7750,2.10,25,228,1.57
18,i,8137,2.21,24,228,1.44
19,or,4870,1.32,10,228,0.92
20,to,25250,6.85,51,228,0.90
21,by,11498,3.12,23,228,0.88
22,with,8765,2.38,17,228,0.84
23,the,96393,26.13,164,228,0.65
24,not,5411,1.47,9,228,0.62
25,but,5180,1.40,8,228,0.51
26,to,25250,6.85,38,228,0.47
27,in,24719,6.70,37,228,0.47
28,this,7794,2.11,11,228,0.38
29,as,8548,2.32,12,228,0.37
30,it,12871,3.49,18,228,0.37
31,with,8765,2.38,12,228,0.34
32,and,27862,7.55,38,228,0.33
33,of,66029,17.90,89,228,0.31
34,as,8548,2.32,11,228,0.25
35,be,11235,3.05,13,228,0.09
36,be,11235,3.05,11,228,-0.15
37,by,11498,3.12,11,228,-0.18
38,and,27862,7.55,25,228,-0.27
39,the,96393,26.13,85,228,-0.30
40,a,22745,6.17,19,228,-0.38
41,is,13093,3.55,10,228,-0.51
42,of,66029,17.90,48,228,-0.58
43,that,12931,3.51,9,228,-0.64
44,in,24719,6.70,8,228,-1.74
