No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,new,846,0.17,11,140,5.02
2,these,2709,0.54,34,237,4.97
3,many,623,0.13,7,188,4.81
4,some,1814,0.36,7,238,3.26
5,which,10632,2.13,37,255,3.12
6,have,5215,1.05,18,252,3.10
7,other,2402,0.48,7,237,2.86
8,i,7604,1.53,14,257,2.20
9,from,7381,1.48,11,259,1.89
10,that,11526,2.31,17,252,1.88
11,it,11166,2.24,9,254,1.01
12,the,97053,19.48,77,272,0.98
13,of,61917,12.43,48,270,0.95
14,in,24258,4.87,18,267,0.89
15,by,11341,2.28,7,266,0.62
16,and,25792,5.18,10,270,-0.05
17,to,24031,4.82,8,265,-0.27
18,the,97053,19.48,24,272,-0.70
19,of,61917,12.43,7,270,-1.83
