No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,these,5742,1.37,68,247,4.63
2,many,1219,0.29,13,191,4.48
3,all,3808,0.91,16,238,3.14
4,have,8083,1.93,30,254,2.96
5,from,12869,3.07,41,262,2.74
6,i,11409,2.72,33,262,2.60
7,other,4894,1.17,14,247,2.58
8,which,18612,4.44,53,260,2.58
9,are,10204,2.44,28,269,2.52
10,with,14036,3.35,21,273,1.65
11,with,14036,3.35,20,273,1.58
12,that,19539,4.66,25,259,1.42
13,it,18286,4.36,20,258,1.20
14,the,190622,45.49,208,277,1.19
15,on,12907,3.08,14,276,1.18
16,by,18094,4.32,17,276,0.98
17,in,47474,11.33,44,276,0.96
18,of,108270,25.84,99,277,0.94
19,by,18094,4.32,14,276,0.70
20,to,42741,10.20,30,276,0.56
21,and,48794,11.65,31,276,0.41
22,the,190622,45.49,45,277,-1.02
23,of,108270,25.84,22,277,-1.23
