No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,preceding,389,0.10,7,104,5.07
2,new,848,0.23,15,149,5.04
3,these,2752,0.74,37,223,4.65
4,number,728,0.20,8,142,4.35
5,many,639,0.17,7,172,4.35
6,other,2470,0.66,12,230,3.18
7,all,1897,0.51,9,208,3.14
8,have,5026,1.35,23,241,3.09
9,some,1890,0.51,8,230,2.98
10,which,10831,2.91,33,244,2.50
11,that,11804,3.17,34,242,2.42
12,are,5011,1.35,11,234,2.03
13,i,7468,2.01,16,247,2.00
14,from,7200,1.93,13,248,1.75
15,it,11683,3.14,14,244,1.16
16,the,96386,25.88,107,260,1.05
17,in,24302,6.53,26,258,0.99
18,as,7972,2.14,8,246,0.90
19,by,11283,3.03,11,255,0.86
20,of,62502,16.78,59,259,0.81
21,and,27060,7.27,21,259,0.53
22,to,24038,6.45,17,257,0.40
23,by,11283,3.03,7,255,0.21
24,is,13487,3.62,7,250,-0.05
25,the,96386,25.88,37,260,-0.48
26,to,24038,6.45,9,257,-0.52
27,of,62502,16.78,11,259,-1.61
