No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,discloses,3,0.00,2,1,9.49
2,notwithstanding,6,0.01,3,2,9.08
3,emerge,16,0.01,3,6,7.66
4,curious,14,0.01,2,4,7.27
5,disclosed,17,0.02,2,4,6.99
6,exist,36,0.03,4,10,6.91
7,justified,18,0.02,2,4,6.91
8,spite,23,0.02,2,8,6.55
9,supported,34,0.03,2,11,5.99
10,noticed,68,0.06,3,10,5.58
11,stele,100,0.09,4,1,5.43
12,etc,51,0.05,2,0,5.41
13,interesting,56,0.05,2,16,5.27
14,apparent,95,0.09,3,15,5.09
15,involved,65,0.06,2,10,5.06
16,sharp,67,0.06,2,14,5.01
17,due,273,0.25,6,20,4.57
18,lie,185,0.17,4,16,4.55
19,matter,93,0.09,2,14,4.54
20,sinus,97,0.09,2,4,4.48

Total tokens in window,311236
Total texts in window,22
