No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,discloses,3,0.00,2,1,9.39
2,notwithstanding,6,0.01,3,2,8.97
3,emerge,5,0.00,2,4,8.65
4,disclosed,12,0.01,2,2,7.39
5,curious,13,0.01,2,3,7.27
6,exist,32,0.03,4,7,6.97
7,justified,18,0.02,2,4,6.80
8,noticed,61,0.06,3,7,5.63
9,sharp,50,0.05,2,9,5.33
10,stele,100,0.10,4,1,5.33
11,apparent,79,0.08,3,10,5.25
12,view,185,0.18,6,13,5.03
13,due,221,0.22,6,13,4.77
14,matter,85,0.08,2,12,4.56
15,lie,140,0.14,3,11,4.43
16,apart,94,0.09,2,12,4.42
17,sinus,97,0.10,2,4,4.37
18,hormone,101,0.10,2,2,4.31
19,follows,102,0.10,2,11,4.30
20,nearly,102,0.10,2,12,4.30

Total tokens in window,255176
Total texts in window,14
