No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,unconscious,2,0.00,2,1,9.41
2,relating,6,0.01,2,6,7.82
3,harmony,6,0.01,2,4,7.82
4,overlooked,7,0.01,2,2,7.60
5,reveals,7,0.01,2,5,7.60
6,shortened,11,0.02,2,3,6.95
7,spite,34,0.05,6,12,6.90
8,experimental,23,0.03,4,9,6.88
9,emphasised,12,0.02,2,6,6.82
10,coincident,12,0.02,2,4,6.82
11,concerning,26,0.04,4,10,6.71
12,accounted,15,0.02,2,8,6.50
13,protosomites,15,0.02,2,1,6.50
14,supported,38,0.06,5,20,6.48
15,attain,16,0.02,2,7,6.41
16,foregoing,16,0.02,2,8,6.41
17,matter,111,0.16,10,21,5.93
18,attention,68,0.10,6,20,5.90
19,demonstrated,28,0.04,2,9,5.60
20,explain,30,0.04,2,12,5.50

Total tokens in window,293947
Total texts in window,28
