No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,recognition,12,0.01,2,6,7.73
2,beyond,37,0.03,3,14,6.69
3,differ,96,0.08,4,20,5.73
4,apart,77,0.06,3,11,5.63
5,provided,57,0.04,2,19,5.48
6,suggests,90,0.07,3,18,5.40
7,owing,60,0.05,2,12,5.40
8,active,68,0.05,2,10,5.22
9,discussed,79,0.06,2,17,5.01
10,normal,124,0.10,3,18,4.94
11,former,83,0.07,2,16,4.94
12,decrease,85,0.07,2,9,4.90
13,author,88,0.07,2,8,4.85
14,due,178,0.14,4,21,4.84
15,drawn,93,0.07,2,16,4.77
16,mortality,102,0.08,2,3,4.64
17,suggested,103,0.08,2,21,4.63
18,use,107,0.08,2,20,4.57
19,lutea,130,0.10,2,3,4.29
20,account,222,0.17,3,20,4.10

Total tokens in window,294878
Total texts in window,22
