No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,reveals,17,0.02,4,6,7.77
2,establish,12,0.01,2,11,7.27
3,illustrates,15,0.02,2,11,6.95
4,supported,38,0.04,5,19,6.93
5,primordial,17,0.02,2,2,6.77
6,brought,69,0.07,7,23,6.56
7,matter,93,0.10,9,25,6.49
8,attention,87,0.09,8,22,6.41
9,affords,23,0.02,2,11,6.33
10,striking,62,0.07,5,20,6.23
11,spite,28,0.03,2,15,6.05
12,bearing,57,0.06,4,16,6.02
13,established,46,0.05,3,17,5.92
14,express,34,0.04,2,15,5.77
15,owing,97,0.10,4,27,5.26
16,explained,49,0.05,2,18,5.24
17,due,313,0.34,12,31,5.15
18,drawn,96,0.10,3,25,4.86
19,know,66,0.07,2,19,4.81
20,important,166,0.18,5,29,4.80

Total tokens in window,299665
Total texts in window,32
