No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,despite,12,0.01,4,6,8.10
2,notwithstanding,12,0.01,3,7,7.69
3,spite,54,0.07,8,22,6.93
4,supported,54,0.07,8,25,6.93
5,concerning,30,0.04,4,17,6.78
6,happened,15,0.02,2,9,6.78
7,demonstrate,25,0.03,3,13,6.63
8,emphasise,17,0.02,2,13,6.60
9,solely,18,0.02,2,9,6.52
10,establish,29,0.04,3,21,6.41
11,emphasised,20,0.02,2,12,6.36
12,attention,143,0.17,12,39,6.11
13,primordial,24,0.03,2,4,6.10
14,owing,200,0.24,16,41,6.04
15,matter,174,0.21,13,43,5.94
16,responsible,27,0.03,2,16,5.93
17,recognise,42,0.05,3,21,5.88
18,express,45,0.05,3,27,5.78
19,explain,49,0.06,3,26,5.66
20,complicated,33,0.04,2,16,5.64

Total tokens in window,550816
Total texts in window,55
