No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,intensified,2,0.00,2,2,9.76
2,puzzling,3,0.00,2,2,9.17
3,inconsistent,9,0.01,2,6,7.59
4,recognition,17,0.02,3,12,7.26
5,supported,80,0.09,14,36,7.25
6,raise,12,0.01,2,5,7.17
7,notwithstanding,19,0.02,3,8,7.10
8,notwithstanding,19,0.02,3,8,7.10
9,spite,64,0.07,10,28,7.08
10,logical,13,0.01,2,12,7.06
11,incorrect,14,0.02,2,6,6.95
12,revealed,35,0.04,3,21,6.22
13,revealed,35,0.04,3,21,6.22
14,significant,70,0.08,6,25,6.22
15,annual,24,0.03,2,5,6.17
16,furnished,25,0.03,2,10,6.12
17,lupin,25,0.03,2,0,6.12
18,curious,38,0.04,3,19,6.10
19,attention,110,0.13,8,28,5.98
20,owing,176,0.20,12,42,5.89

Total tokens in window,628556
Total texts in window,70
