author,date,identifier,language,og_url,pdf_download_link,pdf_link,publisher,title
Natalie C. Bowling and Vanessa Botan and Idalmis Santiesteban and Jamie Ward and Michael J. Banissy,2019-12-9,10.1098/rstb.2018.0361,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2018.0361,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2018.0361?download=true,/doi/epdf/10.1098/rstb.2018.0361,The Royal Society,Atypical bodily self-awareness in vicarious pain responders
Ali Ebrahimi and Julia Schwartzman and Otto X. Cordero,2019-11-25,10.1098/rstb.2019.0077,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2019.0077,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2019.0077?download=true,/doi/epdf/10.1098/rstb.2019.0077,The Royal Society,Multicellular behaviour enables cooperation in microbial cell aggregates
Alma Dal Co and Simon van Vliet and Martin Ackermann,2019-11-25,10.1098/rstb.2019.0080,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2019.0080,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2019.0080?download=true,/doi/epdf/10.1098/rstb.2019.0080,The Royal Society,Emergent microscale gradients give rise to metabolic cross-feeding and antibiotic tolerance in clonal bacterial populations
David López-Escardó and Xavier Grau-Bové and Amy Guillaumet-Adkins and Marta Gut and Michael E. Sieracki and Iñaki Ruiz-Trillo,2019-11-25,10.1098/rstb.2019.0088,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2019.0088,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2019.0088?download=true,/doi/epdf/10.1098/rstb.2019.0088,The Royal Society,Reconstruction of protein domain evolution using single-cell amplified genomes of uncultured choanoflagellates sheds light on the origin of animals
Eeva Kuisma and Sarah H. Olson and Kenneth N. Cameron and Patricia E. Reed and William B. Karesh and Alain I. Ondzie and Marc-Joël Akongo and Serge D. Kaba and Robert J. Fischer and Stephanie N. Seifert and César Muñoz-Fontela and Beate Becker-Ziaja and Beatriz Escudero-Pérez and Cynthia Goma-Nkoua and Vincent J. Munster and Jean-Vivien Mombouli,2019-9-30,10.1098/rstb.2018.0339,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2018.0339,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2018.0339?download=true,/doi/epdf/10.1098/rstb.2018.0339,The Royal Society,Long-term wildlife mortality surveillance in northern Congo a model for the detection of Ebola virus disease epizootics
Eeva Kuisma and Sarah H. Olson and Kenneth N. Cameron and Patricia E. Reed and William B. Karesh and Alain I. Ondzie and Marc-Joël Akongo and Serge D. Kaba and Robert J. Fischer and Stephanie N. Seifert and César Muñoz-Fontela and Beate Becker-Ziaja and Beatriz Escudero-Pérez and Cynthia Goma-Nkoua and Vincent J. Munster and Jean-Vivien Mombouli,2019-11-25,10.1098/rstb.2019.0658,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2019.0658,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2019.0658?download=true,/doi/epdf/10.1098/rstb.2019.0658,The Royal Society,Correction to ‘Long-term wildlife mortality surveillance in northern Congo a model for the detection of Ebola virus disease epizootics’
Marina Krause and Feng Wei Yang and Mariska te Lindert and Philipp Isermann and Jan Schepens and Ralph J. A. Maas and Chandrasekhar Venkataraman and Jan Lammerding and Anotida Madzvamuse and Wiljan Hendriks and Joost te Riet and Katarina Wolf,2019-8-19,10.1098/rstb.2018.0225,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2018.0225,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2018.0225?download=true,/doi/epdf/10.1098/rstb.2018.0225,The Royal Society,Cell migration through three-dimensional confining pores speed accelerations by deformation and recoil of the nucleus
Marina Krause and Feng Wei Yang and Mariska te Lindert and Philipp Isermann and Jan Schepens and Ralph J. A. Maas and Chandrasekhar Venkataraman and Jan Lammerding and Anotida Madzvamuse and Wiljan Hendriks and Joost te Riet and Katarina Wolf,2019-11-25,10.1098/rstb.2019.0657,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2019.0657,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2019.0657?download=true,/doi/epdf/10.1098/rstb.2019.0657,The Royal Society,Correction to ‘Cell migration through three-dimensional confining pores speed accelerations by deformation and recoil of the nucleus’
Shelley A. Adamo and Laura E. McMillan,2019-11-11,10.1098/rstb.2019.0278,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2019.0278,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2019.0278?download=true,/doi/epdf/10.1098/rstb.2019.0278,The Royal Society,Listening to your gut immune challenge to the gut sensitizes body wall nociception in the caterpillar Manduca sexta
A. L. Morales-García and R. G. Bailey and S. Jana and J. G. Burgess,2019-10-28,10.1098/rstb.2019.0192,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2019.0192,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2019.0192?download=true,/doi/epdf/10.1098/rstb.2019.0192,The Royal Society,The role of polymers in cross-kingdom bioadhesion
Nick Aldred,2019-10-28,10.1098/rstb.2019.0191,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2019.0191,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2019.0191?download=true,/doi/epdf/10.1098/rstb.2019.0191,The Royal Society,Transdisciplinary approaches to the study of adhesion and adhesives in biological systems
Nadia M. E. Ayad and Shelly Kaushik and Valerie M. Weaver,2019-8-19,10.1098/rstb.2018.0215,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2018.0215,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2018.0215?download=true,/doi/epdf/10.1098/rstb.2018.0215,The Royal Society,"Tissue mechanics, an important regulator of development and disease"
