author,date,identifier,language,og_url,pdf_download_link,pdf_link,publisher,title
Jenny Muñoz,2023-6-5,10.1098/rstb.2022.0104,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2022.0104,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2022.0104?download=true,/doi/epdf/10.1098/rstb.2022.0104,The Royal Society,Neotropical mixed-species bird flocks in a community context
Flavia A. Montaño-Centellas,2023-6-5,10.1098/rstb.2022.0099,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2022.0099,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2022.0099?download=true,/doi/epdf/10.1098/rstb.2022.0099,The Royal Society,Network structure of avian mixed-species flocks decays with elevation and latitude across the Andes
G. Giselle Mangini,2023-6-5,10.1098/rstb.2022.0100,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2022.0100,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2022.0100?download=true,/doi/epdf/10.1098/rstb.2022.0100,The Royal Society,A classification scheme for mixed-species bird flocks
author,date,identifier,language,og_url,pdf_download_link,pdf_link,publisher,title
Augustus Desire Waller,1900-01-01,10.1098/rstb.1900.0012,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.1900.0012,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.1900.0012?download=true,/doi/epdf/10.1098/rstb.1900.0012,The Royal SocietyLondon,"VI. On the retinal currents of the frog's eye, excited by light and excited electrically"
Michael Chimento3,2024-10-21,rstb20220524,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2022.0524,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2022.0524?download=true,/doi/epdf/10.1098/rstb.2022.0524,The Royal Society,The contribution of movement to social network structure and spreading dynamics under simple and complex transmission
Reginald Crundall Punnett,1900-01-01,10.1098/rstb.1900.0006,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.1900.0006,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.1900.0006?download=true,/doi/epdf/10.1098/rstb.1900.0006,The Royal SocietyLondon,"VI. On the formation of the pelvic plexus, with especial reference to the nervus collector in the genus mustelus"
Joseph Shaw Bolton,1900-01-01,10.1098/rstb.1900.0013,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.1900.0013,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.1900.0013?download=true,/doi/epdf/10.1098/rstb.1900.0013,The Royal SocietyLondon,VII. The exact histological localisation of the visual area of the human cerebral cortex
Horace Tabberer Brown,1900-01-01,10.1098/rstb.1900.0014,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.1900.0014,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.1900.0014?download=true,/doi/epdf/10.1098/rstb.1900.0014,The Royal SocietyLondon,VIII. Static diffusion of gases and liquids in relation to the assimilation of carbon and translocation in plants
Melodie A. McGeoch,2024-5-27,10.1098/rstb.2023.0014,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2023.0014,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2023.0014?download=true,/doi/epdf/10.1098/rstb.2023.0014,The Royal Society,"A nature-positive future with biological invasions theory, decision support and research needs"
Kartik Shanker,2023-6-5,10.1098/rstb.2023.0041,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2023.0041,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2023.0041?download=true,/doi/epdf/10.1098/rstb.2023.0041,The Royal Society,Dedication Anne Heloise Theo (28 August 1985–6 February 2023)
Werner Karl-Gustav Daalman,2023-5-22,10.1098/rstb.2022.0044,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2022.0044,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2022.0044?download=true,/doi/epdf/10.1098/rstb.2022.0044,The Royal Society,A tractable physical model for the yeast polarity predicts epistasis and fitness
J. B. Saltz,2023-6-5,10.1098/rstb.2022.0105,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2022.0105,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2022.0105?download=true,/doi/epdf/10.1098/rstb.2022.0105,The Royal Society,Identifying the social context of single- and mixed-species group formation in large African herbivores
Jenny Muñoz,2023-6-5,10.1098/rstb.2022.0104,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2022.0104,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2022.0104?download=true,/doi/epdf/10.1098/rstb.2022.0104,The Royal Society,Neotropical mixed-species bird flocks in a community context
Flavia A. Montaño-Centellas,2023-6-5,10.1098/rstb.2022.0099,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2022.0099,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2022.0099?download=true,/doi/epdf/10.1098/rstb.2022.0099,The Royal Society,Network structure of avian mixed-species flocks decays with elevation and latitude across the Andes
G. Giselle Mangini,2023-6-5,10.1098/rstb.2022.0100,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2022.0100,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2022.0100?download=true,/doi/epdf/10.1098/rstb.2022.0100,The Royal Society,A classification scheme for mixed-species bird flocks
author,date,identifier,language,og_url,pdf_download_link,pdf_link,publisher,title
Gregory F. Albery†,2024-10-21,rstb20220534,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2022.0534,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2022.0534?download=true,/doi/epdf/10.1098/rstb.2022.0534,The Royal Society,"Expanding theory, methodology and empirical systems at the spatial–social interface"
