author,date,identifier,language,og_url,pdf_download_link,pdf_link,publisher,title
Nicholas Shea,2018-8-5,10.1098/rstb.2017.0133,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2017.0133,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2017.0133?download=true,/doi/epdf/10.1098/rstb.2017.0133,The Royal Society,Metacognition and abstract concepts
Masha T. van der Sande,2023-1-2,10.1098/rstb.2021.0074,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2021.0074,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2021.0074?download=true,/doi/epdf/10.1098/rstb.2021.0074,The Royal Society,Soil resistance and recovery during neotropical forest succession
Robin L. Chazdon,2023-1-2,10.1098/rstb.2021.0069,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2021.0069,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2021.0069?download=true,/doi/epdf/10.1098/rstb.2021.0069,The Royal Society,Monitoring recovery of tree diversity during tropical forest restoration lessons from long-term trajectories of natural regeneration
William Bond,2016-6-5,10.1098/rstb.2015.0170,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2015.0170,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2015.0170?download=true,/doi/epdf/10.1098/rstb.2015.0170,The Royal Society,The deforestation story testing for anthropogenic origins of Africa's flammable grassy biomes
Conor McAdams,2022-6-20,10.1098/rstb.2022.0092,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2022.0092,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2022.0092?download=true,/doi/epdf/10.1098/rstb.2022.0092,The Royal Society,Correction to ‘Late Pleistocene shell midden microstratigraphy indicates a complex history of human–environment interactions in the uplands of North Vietnam’
Marta Ponari,2018-8-5,10.1098/rstb.2017.0140,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2017.0140,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2017.0140?download=true,/doi/epdf/10.1098/rstb.2017.0140,The Royal Society,Learning abstract words and concepts insights from developmental language disorder
Stephen Elliott,2023-1-2,10.1098/rstb.2021.0073,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2021.0073,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2021.0073?download=true,/doi/epdf/10.1098/rstb.2021.0073,The Royal Society,The framework species method harnessing natural regeneration to restore tropical forest ecosystems
Irene Teixidor-Toneu,2022-6-20,10.1098/rstb.2022.0158,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2022.0158,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2022.0158?download=true,/doi/epdf/10.1098/rstb.2022.0158,The Royal Society,"Correction to ‘Historical, archaeological and linguistic evidence test the phylogenetic inference of Viking-Age plant use’"
Louise Connell,2018-8-5,10.1098/rstb.2017.0143,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2017.0143,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2017.0143?download=true,/doi/epdf/10.1098/rstb.2017.0143,The Royal Society,Interoception the forgotten modality in perceptual grounding of abstract and concrete concepts
Irene Teixidor-Toneu,2021-7-5,10.1098/rstb.2020.0086,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2020.0086,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2020.0086?download=true,/doi/epdf/10.1098/rstb.2020.0086,The Royal Society,"Historical, archaeological and linguistic evidence test the phylogenetic inference of Viking-Age plant use"
