author,date,identifier,language,og_url,pdf_download_link,pdf_link,publisher,title
Annette Beasley,2008-11-27,rstb20084004,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2008.4004,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2008.4004?download=true,/doi/epdf/10.1098/rstb.2008.4004,The Royal SocietyLondon,Richard Hornabrook's first impressions of kuru and Okapa
Françoise Cathala,2008-11-27,rstb20084008,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2008.4008,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2008.4008?download=true,/doi/epdf/10.1098/rstb.2008.4008,The Royal SocietyLondon,Why I joined the research laboratory of Prof. D. Carleton Gajdusek in 1968
Ralph Adolphs,2016-5-5,10.1098/rstb.2015.0367,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2015.0367,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2015.0367?download=true,/doi/epdf/10.1098/rstb.2015.0367,The Royal Society,Data-driven approaches in the investigation of social perception
Komit Poki,2008-11-27,rstb20084023,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2008.4023,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2008.4023?download=true,/doi/epdf/10.1098/rstb.2008.4023,The Royal SocietyLondon,‘We agreed that they could conduct an autopsy on my brother’
Roy F.R Scragg,2008-11-27,rstb20084028,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2008.4028,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2008.4028?download=true,/doi/epdf/10.1098/rstb.2008.4028,The Royal SocietyLondon,Kuru memories from 1957
Tiu Pekiyeva,2008-11-27,rstb20084022,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2008.4022,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2008.4022?download=true,/doi/epdf/10.1098/rstb.2008.4022,The Royal SocietyLondon,‘The children of those who died of kuru are today still alive’
Per Westermark,2008-11-27,rstb20080073,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2008.0073,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2008.0073?download=true,/doi/epdf/10.1098/rstb.2008.0073,The Royal SocietyLondon,Reflections on amyloidosis in Papua New Guinea
D. Carleton Gajdusek,2008-11-27,rstb20080070,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2008.0070,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2008.0070?download=true,/doi/epdf/10.1098/rstb.2008.0070,The Royal SocietyLondon,Kuru and its contribution to medicine
Warwick H Anderson,2008-11-27,rstb20080082,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2008.0082,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2008.0082?download=true,/doi/epdf/10.1098/rstb.2008.0082,The Royal SocietyLondon,Early perceptions of an epidemic
Jerome T Whitfield,2008-11-27,rstb20084035,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2008.4035,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2008.4035?download=true,/doi/epdf/10.1098/rstb.2008.4035,The Royal SocietyLondon,Work among the people of the Okapa area from 1996 to the present
