"author","date","identifier","language","og_url","pdf_download_link","pdf_link","publisher","title"
"Lýdia Vargová and Eva Syková","2014-10-19","10.1098/rstb.2013.0608","EN","https://royalsocietypublishing.org/doi/10.1098/rstb.2013.0608","https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2013.0608?download=true","/doi/epdf/10.1098/rstb.2013.0608","The Royal Society","Astrocytes and extracellular matrix in extrasynaptic volume transmission"
"Nikolai Medvedev and Victor Popov and Christian Henneberger and Igor Kraev and Dmitri A. Rusakov and Michael G. Stewart","2014-10-19","10.1098/rstb.2014.0047","EN","https://royalsocietypublishing.org/doi/10.1098/rstb.2014.0047","https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2014.0047?download=true","/doi/epdf/10.1098/rstb.2014.0047","The Royal Society","Glia selectively approach synapses on thin dendritic spines"
"John C. H. Spence and Henry N. Chapman","2014-7-17","10.1098/rstb.2013.0309","EN","https://royalsocietypublishing.org/doi/10.1098/rstb.2013.0309","https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2013.0309?download=true","/doi/epdf/10.1098/rstb.2013.0309","The Royal Society","The birth of a new field†"
"Simon Höft and Stephanie Griemsmann and Gerald Seifert and Christian Steinhäuser","2014-10-19","10.1098/rstb.2013.0602","EN","https://royalsocietypublishing.org/doi/10.1098/rstb.2013.0602","https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2013.0602?download=true","/doi/epdf/10.1098/rstb.2013.0602","The Royal Society","Heterogeneity in expression of functional ionotropic glutamate and GABA receptors in astrocytes across brain regions insights from the thalamus"
"Juan Carlos Valenzuela and Christopher Heise and Gilbert Franken and Jeet Singh and Barbara Schweitzer and Constanze I. Seidenbecher and Renato Frischknecht","2014-10-19","10.1098/rstb.2013.0606","EN","https://royalsocietypublishing.org/doi/10.1098/rstb.2013.0606","https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2013.0606?download=true","/doi/epdf/10.1098/rstb.2013.0606","The Royal Society","Hyaluronan-based extracellular matrix under conditions of homeostatic plasticity"
"Markus Morawski and Alexander Dityatev and Maike Hartlage-Rübsamen and Maren Blosa and Max Holzer and Katharina Flach and Sanja Pavlica and Galina Dityateva and Jens Grosche and Gert Brückner and Melitta Schachner","2014-10-19","10.1098/rstb.2014.0046","EN","https://royalsocietypublishing.org/doi/10.1098/rstb.2014.0046","https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2014.0046?download=true","/doi/epdf/10.1098/rstb.2014.0046","The Royal Society","Tenascin-R promotes assembly of the extracellular matrix of perineuronal nets via clustering of aggrecan"
"Daniela A. Sahlender and Iaroslav Savtchouk and Andrea Volterra","2014-10-19","10.1098/rstb.2013.0592","EN","https://royalsocietypublishing.org/doi/10.1098/rstb.2013.0592","https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2013.0592?download=true","/doi/epdf/10.1098/rstb.2013.0592","The Royal Society","What do we know about gliotransmitter release from astrocytes"
"K. Pande and P. Schwander and M. Schmidt and D. K. Saldin","2014-7-17","10.1098/rstb.2013.0332","EN","https://royalsocietypublishing.org/doi/10.1098/rstb.2013.0332","https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2013.0332?download=true","/doi/epdf/10.1098/rstb.2013.0332","The Royal Society","Deducing fast electron density changes in randomly orientated uncrystallized biomolecules in a pump–probe experiment"
"Derek Mendez and Thomas J. Lane and Jongmin Sung and Jonas Sellberg and Clément Levard and Herschel Watkins and Aina E. Cohen and Michael Soltis and Shirley Sutton and James Spudich and Vijay Pande and Daniel Ratner and Sebastian Doniach","2014-7-17","10.1098/rstb.2013.0315","EN","https://royalsocietypublishing.org/doi/10.1098/rstb.2013.0315","https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2013.0315?download=true","/doi/epdf/10.1098/rstb.2013.0315","The Royal Society","Observation of correlated X-ray scattering at atomic resolution"
"François-Xavier Gallat and Naohiro Matsugaki and Nathan P. Coussens and Koichiro J. Yagi and Marion Boudes and Tetsuya Higashi and Daisuke Tsuji and Yutaka Tatano and Mamoru Suzuki and Eiichi Mizohata and Kensuke Tono and Yasumasa Joti and Takashi Kameshima and Jaehyun Park and Changyong Song and Takaki Hatsui and Makina Yabashi and Eriko Nango and Kohji Itoh and Fasséli Coulibaly and Stephen Tobe and S. Ramaswamy and Barbara Stay and So Iwata and Leonard M. G. Chavas","2014-7-17","10.1098/rstb.2013.0497","EN","https://royalsocietypublishing.org/doi/10.1098/rstb.2013.0497","https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2013.0497?download=true","/doi/epdf/10.1098/rstb.2013.0497","The Royal Society","In vivo crystallography at X-ray free-electron lasers the next generation of structural biology"
"Richard A. Kirian and Richard J. Bean and Kenneth R. Beyerlein and Oleksandr M. Yefanov and Thomas A. White and Anton Barty and Henry N. Chapman","2014-7-17","10.1098/rstb.2013.0331","EN","https://royalsocietypublishing.org/doi/10.1098/rstb.2013.0331","https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2013.0331?download=true","/doi/epdf/10.1098/rstb.2013.0331","The Royal Society","Phasing coherently illuminated nanocrystals bounded by partial unit cells"
"P. Schwander and R. Fung and A. Ourmazd","2014-7-17","10.1098/rstb.2013.0567","EN","https://royalsocietypublishing.org/doi/10.1098/rstb.2013.0567","https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2013.0567?download=true","/doi/epdf/10.1098/rstb.2013.0567","The Royal Society","Conformations of macromolecules and their complexes from heterogeneous datasets"
"A. Hosseinizadeh and P. Schwander and A. Dashti and R. Fung and R. M. D'Souza and A. Ourmazd","2014-7-17","10.1098/rstb.2013.0326","EN","https://royalsocietypublishing.org/doi/10.1098/rstb.2013.0326","https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2013.0326?download=true","/doi/epdf/10.1098/rstb.2013.0326","The Royal Society","High-resolution structure of viruses from random diffraction snapshots"
"Henry N. Chapman and Carl Caleman and Nicusor Timneanu","2014-7-17","10.1098/rstb.2013.0313","EN","https://royalsocietypublishing.org/doi/10.1098/rstb.2013.0313","https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2013.0313?download=true","/doi/epdf/10.1098/rstb.2013.0313","The Royal Society","Diffraction before destruction"
"Richard Neutze","2014-7-17","10.1098/rstb.2013.0318","EN","https://royalsocietypublishing.org/doi/10.1098/rstb.2013.0318","https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2013.0318?download=true","/doi/epdf/10.1098/rstb.2013.0318","The Royal Society","Opportunities and challenges for time-resolved studies of protein structural dynamics at X-ray free-electron lasers"
"Martin Caffrey and Dianfan Li and Nicole Howe and Syed T. A. Shah","2014-7-17","10.1098/rstb.2013.0621","EN","https://royalsocietypublishing.org/doi/10.1098/rstb.2013.0621","https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2013.0621?download=true","/doi/epdf/10.1098/rstb.2013.0621","The Royal Society","‘Hit and run’ serial femtosecond crystallography of a membrane kinase in the lipid cubic phase"
"Leonid P. Savtchenko and Dmitri A. Rusakov","2014-10-19","10.1098/rstb.2013.0614","EN","https://royalsocietypublishing.org/doi/10.1098/rstb.2013.0614","https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2013.0614?download=true","/doi/epdf/10.1098/rstb.2013.0614","The Royal Society","Regulation of rhythm genesis by volume-limited, astroglia-like signals in neural networks"
"Oana Chever and Ulrike Pannasch and Pascal Ezan and Nathalie Rouach","2014-10-19","10.1098/rstb.2013.0596","EN","https://royalsocietypublishing.org/doi/10.1098/rstb.2013.0596","https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2013.0596?download=true","/doi/epdf/10.1098/rstb.2013.0596","The Royal Society","Astroglial connexin 43 sustains glutamatergic synaptic efficacy"
"Sarah Hawkins","2014-12-19","10.1098/rstb.2013.0398","EN","https://royalsocietypublishing.org/doi/10.1098/rstb.2013.0398","https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2013.0398?download=true","/doi/epdf/10.1098/rstb.2013.0398","The Royal Society","Situational influences on rhythmicity in speech, music, and their interaction"
"Timothy Gould and Lixin Chen and Zsuzsa Emri and Tiina Pirttimaki and Adam C. Errington and Vincenzo Crunelli and H. Rheinallt Parri","2014-10-19","10.1098/rstb.2013.0607","EN","https://royalsocietypublishing.org/doi/10.1098/rstb.2013.0607","https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2013.0607?download=true","/doi/epdf/10.1098/rstb.2013.0607","The Royal Society","GABAB receptor-mediated activation of astrocytes by gamma-hydroxybutyric acid"
"Jelena Krivokapić","2014-12-19","10.1098/rstb.2013.0397","EN","https://royalsocietypublishing.org/doi/10.1098/rstb.2013.0397","https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2013.0397?download=true","/doi/epdf/10.1098/rstb.2013.0397","The Royal Society","Gestural coordination at prosodic boundaries and its role for prosodic structure and speech planning processes"
"Manoj K. Gottipati and Alexei Verkhratsky and Vladimir Parpura","2014-10-19","10.1098/rstb.2013.0598","EN","https://royalsocietypublishing.org/doi/10.1098/rstb.2013.0598","https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2013.0598?download=true","/doi/epdf/10.1098/rstb.2013.0598","The Royal Society","Probing astroglia with carbon nanotubes modulation of form and function"
"Alice Turk and Stefanie Shattuck-Hufnagel","2014-12-19","10.1098/rstb.2013.0395","EN","https://royalsocietypublishing.org/doi/10.1098/rstb.2013.0395","https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2013.0395?download=true","/doi/epdf/10.1098/rstb.2013.0395","The Royal Society","Timing in talking what is it used for, and how is it controlled"
"Seyed Rasooli-Nejad and Oleg Palygin and Ulyana Lalo and Yuriy Pankratov","2014-10-19","10.1098/rstb.2014.0077","EN","https://royalsocietypublishing.org/doi/10.1098/rstb.2014.0077","https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2014.0077?download=true","/doi/epdf/10.1098/rstb.2014.0077","The Royal Society","Cannabinoid receptors contribute to astroglial Ca2+-signalling and control of synaptic plasticity in the neocortex"
"Francis Nolan and Hae-Sung Jeon","2014-12-19","10.1098/rstb.2013.0396","EN","https://royalsocietypublishing.org/doi/10.1098/rstb.2013.0396","https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2013.0396?download=true","/doi/epdf/10.1098/rstb.2013.0396","The Royal Society","Speech rhythm a metaphor"
"Thomas Papouin and Stéphane H. R. Oliet","2014-10-19","10.1098/rstb.2013.0601","EN","https://royalsocietypublishing.org/doi/10.1098/rstb.2013.0601","https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2013.0601?download=true","/doi/epdf/10.1098/rstb.2013.0601","The Royal Society","Organization, control and function of extrasynaptic NMDA receptors"
"Anna L. Xavier and João R. L. Menezes and Steven A. Goldman and Maiken Nedergaard","2014-10-19","10.1098/rstb.2013.0593","EN","https://royalsocietypublishing.org/doi/10.1098/rstb.2013.0593","https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2013.0593?download=true","/doi/epdf/10.1098/rstb.2013.0593","The Royal Society","Fine-tuning the central nervous system microglial modelling of cells and synapses"
"Caroline Palmer and Pascale Lidji and Isabelle Peretz","2014-12-19","10.1098/rstb.2013.0405","EN","https://royalsocietypublishing.org/doi/10.1098/rstb.2013.0405","https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2013.0405?download=true","/doi/epdf/10.1098/rstb.2013.0405","The Royal Society","Losing the beat deficits in temporal coordination"
"Aude Panatier and Misa Arizono and U. Valentin Nägerl","2014-10-19","10.1098/rstb.2013.0597","EN","https://royalsocietypublishing.org/doi/10.1098/rstb.2013.0597","https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2013.0597?download=true","/doi/epdf/10.1098/rstb.2013.0597","The Royal Society","Dissecting tripartite synapses with STED microscopy"
