No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,familiar,48,0.06,7,26,6.83
2,curious,68,0.09,8,32,6.52
3,spite,93,0.12,8,48,6.06
4,matter,700,0.90,43,93,5.58
5,arises,116,0.15,7,39,5.55
6,justified,84,0.11,5,39,5.53
7,interesting,282,0.36,15,84,5.37
8,attention,263,0.34,12,85,5.15
9,mere,110,0.14,5,50,5.14
10,consequence,200,0.26,9,58,5.13
11,proved,259,0.33,10,85,4.91
12,detailed,133,0.17,5,50,4.87
13,fundamental,149,0.19,5,43,4.71
14,remarkable,221,0.28,7,65,4.62
15,explanation,271,0.35,8,80,4.52
16,explained,180,0.23,5,61,4.43
17,express,195,0.25,5,61,4.32
18,important,473,0.61,12,107,4.30
19,led,206,0.26,5,89,4.24
20,lie,632,0.81,15,84,4.21
21,due,1489,1.91,34,126,4.15
22,owing,492,0.63,10,99,3.98
23,view,864,1.11,17,101,3.94
24,drawn,482,0.62,9,101,3.86
25,brought,343,0.44,6,97,3.77
26,note,335,0.43,5,75,3.54
27,consideration,363,0.47,5,75,3.42
28,previously,403,0.52,5,99,3.27
29,observed,1302,1.67,15,119,3.16
30,always,797,1.02,9,122,3.14
31,already,876,1.13,9,121,3.00
32,often,589,0.76,6,85,2.99
33,many,987,1.27,9,121,2.83
34,evidence,734,0.94,6,93,2.67
35,seems,613,0.79,5,101,2.67
36,account,634,0.81,5,113,2.62
37,although,716,0.92,5,110,2.44
38,follows,718,0.92,5,115,2.44
39,observed,1302,1.67,9,119,2.43
40,shown,1752,2.25,11,137,2.29
41,without,993,1.28,6,131,2.23
42,certain,1057,1.36,6,126,2.14
43,might,913,1.17,5,124,2.09
44,group,1359,1.75,7,65,2.00
45,great,1214,1.56,6,129,1.94
46,certain,1057,1.36,5,126,1.88
47,theory,1286,1.65,6,75,1.86
48,theory,1286,1.65,6,75,1.86
49,would,2736,3.52,12,136,1.77
50,latter,1144,1.47,5,119,1.77
51,light,1429,1.84,6,101,1.71
52,another,1194,1.53,5,130,1.70
53,must,1702,2.19,7,132,1.68
54,point,3058,3.93,12,133,1.61
55,may,5285,6.79,20,142,1.56
56,also,2927,3.76,11,141,1.55
57,difference,1876,2.41,7,121,1.54
58,following,1370,1.76,5,131,1.51
59,upon,1743,2.24,6,98,1.42
60,normal,1487,1.91,5,94,1.39
61,however,1997,2.57,6,74,1.23
62,large,1833,2.36,5,129,1.09
63,observation,1918,2.46,5,85,1.02
64,also,2927,3.76,7,141,0.90
65,given,2552,3.28,6,137,0.87
66,point,3058,3.93,7,133,0.83
67,may,5285,6.79,12,142,0.82
68,show,2331,3.00,5,134,0.74
69,made,2808,3.61,6,140,0.73
70,case,4819,6.19,10,136,0.69
71,temperature,3384,4.35,7,70,0.69
72,first,3088,3.97,6,138,0.60
73,found,2894,3.72,5,139,0.43
74,number,2973,3.82,5,133,0.39
75,time,3034,3.90,5,130,0.36
76,fig,5711,7.34,7,30,-0.07
77,case,4819,6.19,5,136,-0.31
