No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,preceding,363,0.10,7,104,5.10
2,new,831,0.23,15,153,5.01
3,these,2812,0.79,42,222,4.74
4,many,683,0.19,7,175,4.19
5,number,784,0.22,8,144,4.19
6,have,5177,1.45,28,237,3.27
7,all,1862,0.52,9,207,3.11
8,other,2520,0.71,12,229,3.09
9,some,1959,0.55,9,227,3.03
10,which,10950,3.07,37,240,2.59
11,are,4921,1.38,15,230,2.44
12,that,12039,3.38,31,239,2.20
13,i,7435,2.08,14,243,1.75
14,from,7452,2.09,14,244,1.74
15,as,7927,2.22,10,243,1.17
16,it,11933,3.35,15,243,1.16
17,the,97174,27.24,114,257,1.07
18,in,24310,6.82,27,256,0.99
19,by,11508,3.23,12,253,0.90
20,by,11508,3.23,12,253,0.90
21,with,7836,2.20,8,241,0.86
22,of,63632,17.84,61,257,0.77
23,and,27381,7.68,21,256,0.45
24,to,24428,6.85,18,256,0.39
25,is,13304,3.73,8,248,0.10
26,to,24428,6.85,10,256,-0.45
27,the,97174,27.24,36,257,-0.60
28,of,63632,17.84,11,257,-1.70
