No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,new,661,0.19,14,129,5.21
2,many,724,0.21,12,157,4.86
3,these,2804,0.80,41,189,4.68
4,number,615,0.18,7,134,4.32
5,some,2080,0.59,10,195,3.07
6,have,5266,1.50,24,205,3.00
7,other,2488,0.71,11,198,2.95
8,which,11291,3.22,40,207,2.63
9,are,4645,1.33,15,203,2.50
10,that,12293,3.51,29,208,2.05
11,i,7640,2.18,18,208,2.05
12,from,7420,2.12,14,211,1.72
13,or,4492,1.28,8,208,1.64
14,as,7979,2.28,11,210,1.27
15,the,93504,26.68,120,225,1.17
16,by,11335,3.23,14,222,1.11
17,to,23826,6.80,26,219,0.93
18,it,12017,3.43,13,213,0.92
19,in,23934,6.83,25,223,0.87
20,of,63360,18.08,62,226,0.78
21,by,11335,3.23,11,222,0.77
22,with,8231,2.35,7,210,0.58
23,with,8231,2.35,7,210,0.58
24,and,27093,7.73,23,223,0.57
25,is,12284,3.51,8,217,0.19
26,to,23826,6.80,11,219,-0.31
27,the,93504,26.68,26,225,-1.04
28,of,63360,18.08,10,226,-1.85
