No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,new,829,0.21,15,149,5.18
2,these,2718,0.68,38,234,4.81
3,number,736,0.18,7,144,4.26
4,some,1892,0.47,10,239,3.41
5,have,5073,1.26,23,252,3.19
6,other,2412,0.60,10,242,3.06
7,all,1892,0.47,7,218,2.89
8,which,10800,2.69,34,255,2.66
9,that,11735,2.92,28,253,2.26
10,i,7629,1.90,18,259,2.25
11,are,4930,1.23,10,246,2.03
12,from,7137,1.78,12,259,1.76
13,it,11653,2.90,13,256,1.16
14,the,95237,23.69,99,272,1.06
15,as,7865,1.96,8,257,1.03
16,in,24285,6.04,24,269,0.99
17,of,61609,15.33,57,270,0.89
18,by,11156,2.78,8,267,0.53
19,by,11156,2.78,7,267,0.33
20,to,23909,5.95,14,267,0.23
21,and,26573,6.61,15,270,0.18
22,is,13296,3.31,7,261,0.08
23,the,95237,23.69,36,272,-0.40
24,of,61609,15.33,11,270,-1.48
