No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,new,534,0.10,10,157,5.68
2,many,687,0.13,11,186,5.46
3,these,3699,0.67,39,268,4.85
4,following,1130,0.21,11,228,4.74
5,some,1996,0.36,13,256,4.16
6,have,5669,1.03,21,285,3.35
7,i,9307,1.70,26,289,2.94
8,which,12147,2.21,28,289,2.66
9,from,9983,1.82,23,299,2.66
10,are,6399,1.17,11,295,2.24
11,or,6492,1.18,10,279,2.08
12,that,13765,2.51,19,290,1.92
13,the,138189,25.18,115,313,1.19
14,be,12621,2.30,10,294,1.12
15,in,32843,5.98,25,312,1.06
16,of,79781,14.54,59,313,1.02
17,to,32456,5.91,18,311,0.61
18,and,36650,6.68,15,312,0.17
19,the,138189,25.18,32,313,-0.65
20,of,79781,14.54,11,313,-1.40
