No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,recorded,96,0.02,13,33,8.13
2,connected,478,0.12,13,101,5.82
3,these,5289,1.28,56,196,4.46
4,some,2450,0.59,15,192,3.67
5,i,9232,2.23,32,208,2.84
6,which,15850,3.82,42,214,2.46
7,from,11155,2.69,24,209,2.16
8,are,8552,2.06,18,215,2.13
9,have,6985,1.69,14,204,2.05
10,it,14748,3.56,20,213,1.49
11,with,12868,3.10,17,220,1.45
12,with,12868,3.10,17,220,1.45
13,or,8452,2.04,11,212,1.43
14,in,42725,10.31,49,223,1.25
15,the,161095,38.86,176,223,1.18
16,that,16182,3.90,15,207,0.94
17,be,13436,3.24,12,218,0.89
18,and,40756,9.83,35,223,0.83
19,of,94151,22.71,70,223,0.62
20,to,36058,8.70,24,222,0.46
21,by,18108,4.37,12,222,0.46
22,by,18108,4.37,12,222,0.46
23,to,36058,8.70,14,222,-0.31
24,and,40756,9.83,14,223,-0.49
25,of,94151,22.71,22,223,-1.05
26,the,161095,38.86,31,223,-1.33
