No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,recorded,90,0.02,13,31,8.13
2,connected,487,0.13,14,97,5.80
3,these,5372,1.38,56,193,4.34
4,some,2437,0.63,13,192,3.37
5,i,9649,2.48,34,207,2.77
6,from,11055,2.85,36,208,2.66
7,which,16129,4.15,48,211,2.53
8,have,7229,1.86,19,201,2.35
9,are,8555,2.20,16,214,1.86
10,with,12758,3.29,21,220,1.68
11,with,12758,3.29,20,220,1.61
12,or,8235,2.12,12,213,1.50
13,it,15072,3.88,19,211,1.29
14,in,42388,10.92,53,221,1.28
15,the,160019,41.21,196,222,1.25
16,that,16571,4.27,18,205,1.08
17,be,13640,3.51,12,218,0.77
18,and,40584,10.45,32,222,0.61
19,of,93505,24.08,73,222,0.60
20,by,17209,4.43,13,222,0.55
21,by,17209,4.43,13,222,0.55
22,to,36060,9.29,26,222,0.49
23,to,36060,9.29,14,222,-0.41
24,and,40584,10.45,14,222,-0.58
25,of,93505,24.08,21,222,-1.20
26,the,160019,41.21,34,222,-1.28
