No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,recorded,95,0.02,13,29,8.19
2,these,4862,1.14,43,188,4.24
3,observed,1463,0.34,10,137,3.87
4,some,2239,0.52,11,186,3.39
5,i,8441,1.98,28,196,2.83
6,which,14211,3.33,36,203,2.44
7,have,6280,1.47,13,195,2.14
8,are,7593,1.78,15,203,2.08
9,from,10671,2.50,21,199,2.07
10,or,7392,1.73,10,200,1.53
11,in,39028,9.13,45,210,1.30
12,the,148170,34.67,157,210,1.18
13,with,11830,2.77,12,207,1.12
14,it,13100,3.07,13,203,1.08
15,be,12039,2.82,11,205,0.97
16,and,37046,8.67,32,210,0.88
17,with,11830,2.77,10,207,0.85
18,of,86531,20.25,69,210,0.77
19,by,17110,4.00,12,209,0.58
20,that,14710,3.44,10,197,0.54
21,by,17110,4.00,11,209,0.46
22,to,32946,7.71,21,209,0.45
23,to,32946,7.71,16,209,0.05
24,and,37046,8.67,15,210,-0.21
25,of,86531,20.25,23,210,-0.82
26,the,148170,34.67,25,210,-1.47
