No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,propriety,23,0.00,10,17,10.31
2,curious,125,0.02,10,69,7.86
3,respecting,159,0.03,9,84,7.36
4,new,509,0.09,9,137,5.69
5,many,599,0.10,10,185,5.60
6,following,977,0.17,13,205,5.28
7,these,3250,0.56,31,263,4.80
8,some,1872,0.32,9,260,3.81
9,have,5290,0.91,19,283,3.39
10,i,8356,1.44,21,284,2.87
11,which,10593,1.82,24,286,2.72
12,or,5543,0.95,12,276,2.66
13,from,8937,1.53,19,297,2.63
14,that,12572,2.16,16,285,1.89
15,the,120452,20.69,101,310,1.29
16,be,10766,1.85,9,293,1.28
17,in,28910,4.96,16,306,0.69
18,of,71260,12.24,38,309,0.63
19,to,28166,4.84,15,302,0.63
20,and,32368,5.56,10,310,-0.15
21,the,120452,20.69,22,310,-0.91
22,of,71260,12.24,9,309,-1.44
