https://example.com/collocation-analysis
There are 1078181 different words in your collocation database for "facts". (Your query returned 1059 matches in 223 different texts)
__________________

No.	Word	Total no. in whole corpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Mutual information value

1	stated	258	0.07	12	64	5.41
2	new	706	0.19	16	132	4.38
3	many	789	0.22	13	156	3.92
4	these	3007	0.82	38	183	3.53
5	been	3722	1.01	27	200	2.73
6	some	2188	0.60	15	189	2.65
7	have	5533	1.51	37	200	2.62
8	other	2630	0.72	13	192	2.18
9	are	4991	1.36	24	198	2.14
10	which	11882	3.24	48	203	1.89
11	that	12799	3.49	45	204	1.69
12	from	7673	2.09	24	205	1.52
13	i	8000	2.18	24	205	1.46
14	to	24505	6.68	53	214	0.99
15	not	5341	1.46	11	195	0.92
16	by	11441	3.12	23	215	0.88
17	with	8546	2.33	16	204	0.78
18	the	93740	25.56	159	222	0.64
19	this	7612	2.08	12	204	0.53
20	as	8283	2.26	13	206	0.52
21	to	24505	6.68	38	214	0.51
22	in	24502	6.68	37	217	0.47
23	with	8546	2.33	12	204	0.36
24	of	64682	17.64	88	223	0.32
25	and	27411	7.47	36	219	0.27
26	as	8283	2.26	10	206	0.15
27	it	12481	3.40	15	209	0.14
28	be	10896	2.97	12	208	0.01
29	by	11441	3.12	12	215	-0.06
30	be	10896	2.97	11	208	-0.11
31	a	21916	5.98	21	222	-0.19
32	and	27411	7.47	24	219	-0.32
33	the	93740	25.56	77	222	-0.41
34	of	64682	17.64	43	223	-0.71
