https://example.com/collocation-analysis
There are 1646897 different words in your collocation database for "facts". (Your query returned 1393 matches in 227 different texts)
__________________

No.	Word	Total no. in whole corpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Mutual information value

1	stated	426	0.11	18	108	5.36
2	these	5451	1.40	63	198	3.49
3	some	2461	0.63	19	194	2.91
4	i	9683	2.49	41	211	2.04
5	have	7351	1.89	30	205	1.99
6	from	11140	2.87	43	211	1.91
7	which	16291	4.19	54	214	1.69
8	that	16670	4.29	45	208	1.39
9	are	8857	2.28	23	219	1.33
10	with	12684	3.27	31	224	1.25
11	with	12684	3.27	29	224	1.15
12	be	13743	3.54	30	222	1.08
13	to	36391	9.37	69	227	0.88
14	in	42898	11.04	80	226	0.86
15	this	10530	2.71	19	208	0.81
16	it	15123	3.89	25	214	0.68
17	the	162075	41.73	259	227	0.63
18	as	13931	3.59	22	220	0.62
19	by	17381	4.47	22	227	0.30
20	of	94257	24.27	110	227	0.18
21	to	36391	9.37	42	227	0.16
22	by	17381	4.47	19	227	0.09
23	and	41502	10.68	44	227	0.04
24	the	162075	41.73	134	227	-0.32
25	in	42898	11.04	28	226	-0.66
26	a	31571	8.13	20	225	-0.70
27	and	41502	10.68	26	227	-0.72
28	of	94257	24.27	48	227	-1.02
