https://example.com/collocation-analysis
There are 1505365 different words in your collocation database for "facts". (Your query returned 1052 matches in 210 different texts)
__________________

No.	Word	Total no. in whole corpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Mutual information value

1	these	5014	1.10	46	191	3.39
2	some	2229	0.49	15	189	2.94
3	i	8459	1.85	37	197	2.32
4	have	6245	1.36	23	197	2.07
5	which	14359	3.14	46	203	1.87
6	are	8089	1.77	18	204	1.35
7	that	14254	3.12	30	199	1.27
8	from	11141	2.43	19	201	0.96
9	to	32915	7.19	54	209	0.91
10	it	12991	2.84	21	204	0.89
11	be	11463	2.51	18	205	0.84
12	with	12126	2.65	18	208	0.76
13	the	149593	32.69	204	210	0.64
14	in	39443	8.62	53	210	0.62
15	to	32915	7.19	43	209	0.58
16	with	12126	2.65	15	208	0.50
17	as	12677	2.77	15	207	0.44
18	and	38157	8.34	42	210	0.33
19	by	17151	3.75	18	209	0.26
20	of	88046	19.24	91	210	0.24
21	and	38157	8.34	28	210	-0.25
22	a	27582	6.03	19	209	-0.34
23	the	149593	32.69	96	210	-0.45
24	in	39443	8.62	24	210	-0.52
25	a	27582	6.03	16	209	-0.59
26	of	88046	19.24	43	210	-0.84
