No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,this,7207,1.61,38,241,3.57
2,in,23797,5.30,66,256,2.64
3,that,11793,2.63,26,239,2.31
4,i,7459,1.66,15,241,2.17
5,which,10751,2.39,20,238,2.06
6,a,21616,4.81,34,258,1.82
7,is,12523,2.79,19,247,1.77
8,is,12523,2.79,12,247,1.11
9,it,11551,2.57,10,242,0.96
10,the,93365,20.80,65,257,0.64
11,and,26899,5.99,14,256,0.22
12,the,93365,20.80,40,257,-0.06
13,in,23797,5.30,10,256,-0.08
14,to,23955,5.34,10,254,-0.09
15,of,62455,13.91,24,257,-0.21
16,of,62455,13.91,12,257,-1.21
