No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,that,17942,7.34,176,234,3.58
2,this,11339,4.64,96,232,3.37
3,in,50769,20.76,248,240,2.58
4,is,23579,9.64,62,237,1.68
5,i,9740,3.98,25,225,1.65
6,from,14029,5.74,36,233,1.65
7,it,16728,6.84,38,234,1.47
8,which,18082,7.39,41,234,1.47
9,a,36184,14.80,78,237,1.40
10,is,23579,9.64,46,237,1.25
11,was,10845,4.43,20,224,1.17
12,by,20685,8.46,37,238,1.13
13,the,196957,80.53,319,240,0.99
14,a,36184,14.80,37,237,0.32
15,of,116509,47.64,109,240,0.19
16,in,50769,20.76,47,240,0.18
17,the,196957,80.53,179,240,0.15
18,and,50072,20.47,38,240,-0.11
19,to,41707,17.05,25,238,-0.45
20,to,41707,17.05,20,238,-0.77
21,of,116509,47.64,36,240,-1.40
