No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,that,16182,6.00,160,207,3.74
2,this,10118,3.75,73,208,3.28
3,in,42725,15.84,185,223,2.55
4,is,18911,7.01,47,222,1.74
5,from,11155,4.14,25,209,1.60
6,a,30810,11.42,58,222,1.34
7,is,18911,7.01,34,222,1.28
8,by,18108,6.71,31,222,1.21
9,which,15850,5.88,23,214,0.97
10,the,161095,59.73,227,223,0.93
11,be,13436,4.98,18,218,0.85
12,it,14748,5.47,18,213,0.72
13,that,16182,6.00,16,207,0.42
14,a,30810,11.42,30,222,0.39
15,in,42725,15.84,39,223,0.30
16,the,161095,59.73,133,223,0.15
17,to,36058,13.37,26,222,-0.04
18,and,40756,15.11,22,223,-0.46
19,of,94151,34.91,47,223,-0.57
20,of,94151,34.91,31,223,-1.17
