No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,matter,1376,0.71,86,206,5.92
2,that,45087,23.32,1300,311,4.80
3,they,7648,3.96,58,306,2.87
4,in,117415,60.74,715,314,2.56
5,this,28942,14.97,157,311,2.39
6,from,28311,14.64,115,312,1.97
7,by,42102,21.78,166,313,1.93
8,we,21120,10.93,72,298,1.72
9,the,461322,238.64,1389,313,1.54
10,it,33814,17.49,101,312,1.53
11,to,96356,49.84,227,313,1.19
12,which,34339,17.76,72,312,1.02
13,is,72275,37.39,123,312,0.72
14,is,72275,37.39,119,312,0.67
15,the,461322,238.64,756,313,0.66
16,in,117415,60.74,140,314,0.20
17,a,112225,58.05,123,314,0.08
18,a,112225,58.05,117,314,0.01
19,of,261663,135.36,240,314,-0.17
20,and,114090,59.02,86,314,-0.46
21,to,96356,49.84,63,313,-0.66
22,of,261663,135.36,78,314,-1.80
