No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,matter,1165,0.60,86,197,6.16
2,that,42753,22.03,1246,301,4.82
3,they,7346,3.78,55,295,2.86
4,in,112096,57.75,662,304,2.52
5,this,27679,14.26,146,301,2.36
6,from,26416,13.61,107,302,1.97
7,by,39991,20.60,161,303,1.97
8,it,31770,16.37,101,302,1.63
9,the,432668,222.90,1326,303,1.57
10,we,20853,10.74,62,290,1.53
11,which,31430,16.19,74,302,1.19
12,to,91586,47.18,210,303,1.15
13,is,67724,34.89,123,302,0.82
14,the,432668,222.90,715,303,0.68
15,is,67724,34.89,104,302,0.58
16,in,112096,57.75,139,304,0.27
17,a,109259,56.29,117,304,0.06
18,a,109259,56.29,110,304,-0.03
19,of,244672,126.05,221,304,-0.19
20,and,107902,55.59,80,304,-0.47
21,to,91586,47.18,48,303,-0.98
22,of,244672,126.05,76,304,-1.73
