No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,curious,139,0.03,14,76,7.83
2,this,8201,1.82,30,297,3.05
3,that,13266,2.94,46,298,2.97
4,in,31200,6.91,69,319,2.32
5,a,26321,5.83,48,317,2.04
6,which,11531,2.55,21,297,2.04
7,is,14331,3.17,25,309,1.98
8,is,14331,3.17,21,309,1.73
9,the,129921,28.77,112,320,0.96
10,to,30909,6.85,22,317,0.68
11,a,26321,5.83,13,317,0.16
12,the,129921,28.77,57,320,-0.01
13,in,31200,6.91,13,319,-0.09
14,of,76816,17.01,32,320,-0.09
15,of,76816,17.01,23,320,-0.56
