No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,that,26409,11.12,345,284,3.96
2,in,76355,32.16,600,290,3.22
3,if,5821,2.45,32,265,2.71
4,this,16740,7.05,74,282,2.39
5,from,19284,8.12,62,287,1.93
6,is,40643,17.12,109,286,1.67
7,are,17864,7.52,36,283,1.26
8,by,28288,11.91,56,290,1.23
9,it,23209,9.77,40,285,1.03
10,is,40643,17.12,70,286,1.03
11,the,290494,122.34,470,290,0.94
12,as,24536,10.33,36,286,0.80
13,be,24119,10.16,33,286,0.70
14,which,25844,10.88,34,288,0.64
15,the,290494,122.34,351,290,0.52
16,a,59584,25.09,63,289,0.33
17,to,60195,25.35,60,288,0.24
18,to,60195,25.35,54,288,0.09
19,a,59584,25.09,51,289,0.02
20,in,76355,32.16,61,290,-0.08
21,of,181928,76.62,102,290,-0.59
22,and,78728,33.16,34,290,-0.96
23,of,181928,76.62,57,290,-1.43
