https://example.com/collocation-analysis
There are 1197496 different words in your collocation database for "facts". (Your query returned 749 matches in 222 different texts)
__________________

No.	Word	Total no. in whole corpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Mutual information value

1	many	863	0.16	12	156	4.20
2	these	3236	0.61	28	182	3.51
3	some	2335	0.44	17	192	3.26
4	have	5660	1.07	35	198	3.03
5	been	3897	0.74	19	199	2.68
6	other	2962	0.56	13	191	2.53
7	which	12762	2.42	43	205	2.15
8	are	5814	1.10	18	198	2.03
9	that	13363	2.53	37	204	1.87
10	i	8524	1.62	19	204	1.56
11	from	8609	1.63	19	206	1.54
12	with	8795	1.67	13	205	0.96
13	to	27693	5.25	38	211	0.86
14	to	27693	5.25	32	211	0.61
15	the	105006	19.91	118	221	0.57
16	and	29616	5.61	32	218	0.51
17	in	25691	4.87	27	215	0.47
18	it	13380	2.54	14	207	0.46
19	of	69091	13.10	69	222	0.40
20	by	12081	2.29	12	215	0.39
21	by	12081	2.29	11	215	0.26
22	and	29616	5.61	19	218	-0.24
23	a	24492	4.64	15	222	-0.31
24	the	105006	19.91	59	221	-0.43
25	of	69091	13.10	30	222	-0.80
