https://example.com/collocation-analysis
There are 1720757 different words in your collocation database for "facts". (Your query returned 1102 matches in 314 different texts)
__________________

No.	Word	Total no. in whole corpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Mutual information value

1	these	4702	0.96	57	272	3.89
2	have	6732	1.38	42	286	2.93
3	been	4316	0.88	19	285	2.43
4	from	11657	2.38	44	301	2.21
5	are	8410	1.72	31	299	2.17
6	i	10787	2.21	39	293	2.14
7	which	15690	3.21	52	290	2.02
8	that	16716	3.42	41	291	1.58
9	by	16621	3.40	26	311	0.93
10	as	13129	2.69	19	298	0.82
11	in	40139	8.21	54	314	0.72
12	with	12788	2.62	17	307	0.70
13	to	38519	7.88	51	312	0.69
14	of	97197	19.88	125	314	0.65
15	the	167800	34.33	213	314	0.63
16	by	16621	3.40	17	311	0.32
17	and	44741	9.15	40	313	0.13
18	to	38519	7.88	27	312	-0.22
19	the	167800	34.33	103	314	-0.41
20	a	34532	7.06	18	312	-0.65
21	and	44741	9.15	22	313	-0.73
22	of	97197	19.88	45	314	-0.82
