https://example.com/collocation-analysis
There are 1044202 different words in your collocation database for "facts". (Your query returned 1096 matches in 226 different texts)
__________________

No.	Word	Total no. in whole corpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Mutual information value

1	stated	231	0.07	12	59	5.51
2	prove	197	0.06	10	72	5.47
3	new	661	0.19	15	129	4.31
4	many	724	0.21	13	157	3.98
5	general	633	0.18	10	127	3.79
6	these	2804	0.80	41	189	3.68
7	been	3599	1.03	28	205	2.77
8	have	5266	1.50	39	205	2.70
9	some	2080	0.59	14	195	2.56
10	other	2488	0.71	12	198	2.08
11	are	4645	1.33	22	203	2.05
12	which	11291	3.22	49	207	1.93
13	that	12293	3.51	48	208	1.77
14	from	7420	2.12	25	211	1.56
15	i	7640	2.18	24	208	1.46
16	to	23826	6.80	56	219	1.04
17	or	4492	1.28	10	208	0.96
18	not	5007	1.43	11	199	0.94
19	by	11335	3.23	22	222	0.77
20	as	7979	2.28	15	210	0.72
21	the	93504	26.68	171	225	0.68
22	with	8231	2.35	14	210	0.58
23	this	7347	2.10	12	210	0.52
24	to	23826	6.80	38	219	0.48
25	in	23934	6.83	36	223	0.40
26	with	8231	2.35	12	210	0.35
27	it	12017	3.43	17	213	0.31
28	of	63360	18.08	87	226	0.27
29	by	11335	3.23	15	222	0.21
30	and	27093	7.73	34	223	0.14
31	as	7979	2.28	10	210	0.13
32	be	10514	3.00	12	214	-0.00
33	a	21080	6.02	20	225	-0.27
34	and	27093	7.73	25	223	-0.31
35	the	93504	26.68	75	225	-0.51
36	of	63360	18.08	42	226	-0.78
