No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,that,23159,10.11,222,266,3.46
2,in,63806,27.86,450,270,3.01
3,this,14062,6.14,91,264,2.89
4,being,5246,2.29,19,256,2.05
5,we,7858,3.43,22,226,1.68
6,is,32122,14.02,84,266,1.58
7,from,16715,7.30,40,268,1.45
8,is,32122,14.02,75,266,1.42
9,it,21034,9.18,47,265,1.36
10,which,23091,10.08,51,266,1.34
11,i,11532,5.03,25,257,1.31
12,by,23394,10.21,46,270,1.17
13,the,244283,106.65,415,271,0.96
14,was,12868,5.62,20,251,0.83
15,are,13890,6.06,20,264,0.72
16,a,48856,21.33,64,267,0.59
17,the,244283,106.65,273,271,0.36
18,with,18950,8.27,21,268,0.34
19,a,48856,21.33,46,267,0.11
20,by,23394,10.21,22,270,0.11
21,of,151244,66.03,138,271,0.06
22,that,23159,10.11,21,266,0.05
23,to,53079,23.17,47,269,0.02
24,in,63806,27.86,56,270,0.01
25,be,22388,9.77,18,266,-0.12
26,which,23091,10.08,18,266,-0.16
27,and,63614,27.77,48,271,-0.21
28,to,53079,23.17,29,269,-0.68
29,of,151244,66.03,54,271,-1.29
