No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,interesting,296,0.11,14,102,6.04
2,that,20638,7.43,170,240,3.52
3,this,12625,4.54,73,238,3.01
4,in,50819,18.29,226,259,2.63
5,is,24024,8.64,66,257,1.93
6,is,24024,8.64,53,257,1.62
7,from,13302,4.79,28,245,1.55
8,by,18649,6.71,36,260,1.42
9,a,38758,13.95,69,258,1.31
10,which,19881,7.15,31,245,1.12
11,i,11632,4.19,17,245,1.02
12,the,195974,70.52,264,260,0.90
13,by,18649,6.71,24,260,0.84
14,be,17120,6.16,22,253,0.84
15,that,20638,7.43,21,240,0.50
16,it,19115,6.88,19,244,0.47
17,the,195974,70.52,162,260,0.20
18,a,38758,13.95,32,258,0.20
19,to,43843,15.78,36,259,0.19
20,in,50819,18.29,40,259,0.13
21,and,50535,18.18,27,260,-0.43
22,of,113727,40.92,55,260,-0.57
23,of,113727,40.92,38,260,-1.11
24,and,50535,18.18,16,260,-1.18
