No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,that,27503,13.37,370,296,2.79
2,in,74291,36.13,727,303,2.33
3,this,15916,7.74,154,296,2.31
4,being,5614,2.73,32,287,1.55
5,if,5964,2.90,32,283,1.46
6,there,4261,2.07,22,274,1.41
7,is,37158,18.07,190,297,1.39
8,all,5228,2.54,25,280,1.30
9,has,5523,2.69,24,284,1.16
10,being,5614,2.73,23,287,1.07
11,is,37158,18.07,145,297,1.00
12,we,9893,4.81,37,263,0.94
13,no,6788,3.30,24,274,0.86
14,these,8119,3.95,28,283,0.83
15,not,10395,5.05,33,295,0.71
16,when,6755,3.28,21,275,0.68
17,from,18808,9.15,56,300,0.61
18,which,25784,12.54,76,300,0.60
19,it,22899,11.14,64,296,0.52
20,are,17272,8.40,47,294,0.48
21,as,23326,11.34,63,298,0.47
22,it,22899,11.14,61,296,0.45
23,have,11172,5.43,29,295,0.42
24,these,8119,3.95,21,283,0.41
25,have,11172,5.43,28,295,0.37
26,the,283287,137.76,697,304,0.34
27,but,10371,5.04,25,293,0.31
28,to,61416,29.87,145,301,0.28
29,this,15916,7.74,37,296,0.26
30,by,27351,13.30,63,304,0.24
31,we,9893,4.81,22,263,0.19
32,a,59270,28.82,131,301,0.18
33,i,12695,6.17,28,289,0.18
34,by,27351,13.30,60,304,0.17
35,an,10135,4.93,22,292,0.16
36,the,283287,137.76,610,304,0.15
37,be,25626,12.46,54,299,0.12
38,to,61416,29.87,127,301,0.09
39,for,14795,7.19,30,304,0.06
40,of,178809,86.95,351,304,0.01
41,which,25784,12.54,50,300,-0.00
42,was,15165,7.37,29,280,-0.02
43,at,16758,8.15,32,299,-0.03
44,a,59270,28.82,112,301,-0.04
45,are,17272,8.40,32,294,-0.07
46,was,15165,7.37,28,280,-0.08
47,in,74291,36.13,136,303,-0.09
48,that,27503,13.37,48,296,-0.16
49,be,25626,12.46,44,299,-0.18
50,and,74498,36.23,124,304,-0.22
51,as,23326,11.34,35,298,-0.37
52,with,22576,10.98,31,300,-0.50
53,with,22576,10.98,27,300,-0.70
54,of,178809,86.95,208,304,-0.74
55,from,18808,9.15,21,300,-0.80
56,on,20505,9.97,22,304,-0.86
57,and,74498,36.23,53,304,-1.45
