No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,that,28780,13.38,420,306,2.97
2,in,79832,37.10,756,312,2.35
3,this,18067,8.40,166,306,2.31
4,if,6264,2.91,38,290,1.71
5,is,42203,19.61,196,307,1.32
6,being,5995,2.79,26,296,1.22
7,has,6295,2.93,27,293,1.21
8,all,5831,2.71,25,289,1.21
9,being,5995,2.79,25,296,1.17
10,no,7493,3.48,30,280,1.11
11,we,11462,5.33,45,277,1.08
12,from,20985,9.75,77,309,0.98
13,is,42203,19.61,149,307,0.93
14,been,7039,3.27,24,289,0.88
15,these,9143,4.25,27,293,0.67
16,which,27520,12.79,81,309,0.66
17,not,11258,5.23,33,303,0.66
18,as,25866,12.02,72,307,0.58
19,may,8359,3.88,23,298,0.57
20,are,19630,9.12,54,304,0.57
21,two,8716,4.05,23,293,0.51
22,have,12271,5.70,32,305,0.49
23,be,26488,12.31,69,308,0.49
24,but,11173,5.19,29,302,0.48
25,it,24301,11.29,62,306,0.46
26,it,24301,11.29,60,306,0.41
27,the,308307,143.28,725,312,0.34
28,by,30064,13.97,70,312,0.32
29,this,18067,8.40,39,306,0.22
30,an,10668,4.96,23,302,0.21
31,the,308307,143.28,662,312,0.21
32,to,64721,30.08,136,310,0.18
33,we,11462,5.33,24,277,0.17
34,to,64721,30.08,133,310,0.14
35,have,12271,5.70,25,305,0.13
36,a,63731,29.62,129,310,0.12
37,i,12897,5.99,26,300,0.12
38,a,63731,29.62,124,310,0.07
39,was,14411,6.70,28,291,0.06
40,for,16558,7.70,32,313,0.06
41,in,79832,37.10,150,312,0.02
42,which,27520,12.79,50,309,-0.03
43,of,194745,90.51,346,312,-0.07
44,for,16558,7.70,29,313,-0.09
45,by,30064,13.97,52,312,-0.10
46,was,14411,6.70,24,291,-0.16
47,be,26488,12.31,42,308,-0.23
48,and,82391,38.29,119,312,-0.36
49,that,28780,13.38,39,306,-0.46
50,as,25866,12.02,35,307,-0.46
51,are,19630,9.12,26,304,-0.49
52,at,19122,8.89,25,307,-0.51
53,with,24401,11.34,31,309,-0.55
54,with,24401,11.34,31,309,-0.55
55,of,194745,90.51,201,312,-0.85
56,and,82391,38.29,65,312,-1.24
