No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,that,16577,4.67,97,287,2.38
2,this,10188,2.87,59,285,2.36
3,if,3385,0.95,16,249,2.07
4,in,40108,11.29,188,309,2.06
5,is,19435,5.47,78,301,1.83
6,is,19435,5.47,65,301,1.57
7,but,6422,1.81,18,281,1.32
8,which,15517,4.37,42,286,1.27
9,may,4607,1.30,12,277,1.21
10,it,15594,4.39,38,286,1.11
11,when,5158,1.45,12,266,1.05
12,an,5956,1.68,13,287,0.96
13,a,34592,9.74,71,306,0.87
14,i,10551,2.97,20,289,0.75
15,by,16568,4.66,31,308,0.73
16,not,6955,1.96,13,279,0.73
17,have,6601,1.86,12,284,0.69
18,to,37965,10.69,68,307,0.67
19,are,8396,2.36,15,296,0.67
20,was,10101,2.84,17,269,0.58
21,the,166273,46.80,242,309,0.37
22,that,16577,4.67,24,287,0.36
23,from,11544,3.25,16,294,0.30
24,as,13045,3.67,17,293,0.21
25,which,15517,4.37,19,286,0.12
26,a,34592,9.74,42,306,0.11
27,be,14836,4.18,18,290,0.11
28,in,40108,11.29,46,309,0.03
29,by,16568,4.66,19,308,0.03
30,of,96518,27.17,109,309,0.00
31,from,11544,3.25,13,294,0.00
32,it,15594,4.39,17,286,-0.05
33,be,14836,4.18,16,290,-0.06
34,as,13045,3.67,14,293,-0.07
35,the,166273,46.80,177,309,-0.08
36,to,37965,10.69,32,307,-0.42
37,and,44896,12.64,36,308,-0.49
38,of,96518,27.17,70,309,-0.63
39,and,44896,12.64,25,308,-1.02
