Context,Collocate,File,Directory,Year,Frequency Filter
"the Teſtimonies of Matters of Fact of the forcſaid/Authors, the following",the,rstl_1737_0026.txt,txt_rstl,1737,4
able to ſay; but the Fact is certain and ſurprizing. April,the,rstl_1737_0047.txt,txt_rstl,1737,4
able to ſay; but the Fact is certain and ſurprizing. April,the,rstl_1737_0048.txt,txt_rstl,1737,4
