Context,Collocate,File,Directory,Year,Frequency Filter
ſhewn to be matter of Fact ; and that not only,of,rstl_1714_0058.txt,txt_rstl,1714,3
Truth of the Matters of Fact in the within written: *,of,rstl_1714_0058.txt,txt_rstl,1714,3
Truth of the Matters of Fact in the within written: ©,of,rstl_1714_0059.txt,txt_rstl,1714,3
Truth of the Matters of Fact in the within written: *,the,rstl_1714_0058.txt,txt_rstl,1714,3
Truth of the Matters of Fact in the within written: ©,the,rstl_1714_0059.txt,txt_rstl,1714,3
