Context,Collocate,File,Directory,Year,Frequency Filter
Water 5 the matter of fact to m2 ſeems hard- Iy,matter,rstl_1706_0051.txt,txt_rstl,1706,4
"""This is Matter . of Fact : known (143) known'to every",matter,rstl_1708_0023.txt,txt_rstl,1708,4
as appears by matter of Fact ; which take as fol-,matter,rstl_1708_0039.txt,txt_rstl,1708,4
on- > relace Matter of Fact as to the diſcovery of,matter,rstl_1708_0062.txt,txt_rstl,1708,4
Water 5 the matter of fact to m2 ſeems hard- Iy,of,rstl_1706_0051.txt,txt_rstl,1706,4
"""This is Matter . of Fact : known (143) known'to every",of,rstl_1708_0023.txt,txt_rstl,1708,4
as appears by matter of Fact ; which take as fol-,of,rstl_1708_0039.txt,txt_rstl,1708,4
on- > relace Matter of Fact as to the diſcovery of,of,rstl_1708_0062.txt,txt_rstl,1708,4
