"","Year","Collocate","MI Score"
"81",1834,"remarkable",4.3
"82",1835,"interesting",4.93
"83",1835,"important",4.33
"84",1836,"interesting",5
"85",1836,"important",4.39
"86",1836,"that",3.05
"87",1837,"interesting",5.04
"88",1838,"important",4.33
"89",1839,"remarkable",4.37
"90",1839,"that",3
"91",1840,"remarkable",4.26
"92",1841,"remarkable",4.37
"93",1841,"that",3.01
"94",1842,"remarkable",4.2
"95",1843,"remarkable",4.2
"96",1844,"remarkable",3.99
"97",1845,"remarkable",3.92
"98",1846,"remarkable",4.08
"99",1847,"remarkable",4
"100",1848,"remarkable",4.09
"101",1858,"that",3.09
"102",1859,"that",3.12
"103",1860,"that",3.11
"104",1861,"that",3.16
"105",1862,"that",3.19
"106",1863,"that",3.29
"107",1864,"that",3.33
"108",1865,"that",3.4
"109",1866,"that",3.38
"110",1867,"due",3.66
"111",1867,"that",3.38
"112",1868,"remarkable",4.43
"113",1868,"due",3.65
"114",1868,"that",3.36
"115",1869,"remarkable",4.53
"116",1869,"due",3.67
"117",1869,"that",3.38
"118",1870,"due",3.55
"119",1870,"that",3.51
"120",1871,"due",3.52
"121",1871,"that",3.48
"122",1872,"that",3.54
"123",1872,"due",3.53
"124",1873,"that",3.55
"125",1873,"due",3.52
"126",1874,"due",3.67
"127",1874,"that",3.6
"128",1875,"due",3.73
"129",1875,"that",3.62
"130",1876,"attention",5.14
"131",1876,"due",3.9
"132",1876,"that",3.7
"133",1877,"due",4
"134",1877,"that",3.72
"135",1878,"attention",5.18
"136",1878,"due",4.1
"137",1878,"that",3.74
"138",1878,"matter",3.34
"139",1879,"attention",5.35
"140",1879,"due",4.15
"141",1879,"that",3.77
"142",1879,"matter",3.39
"143",1880,"attention",5.49
"144",1880,"due",4.17
"145",1880,"that",3.73
"146",1880,"matter",3.68
"147",1881,"attention",5.61
"148",1881,"due",4.3
"149",1881,"that",3.8
"150",1881,"matter",3.74
"151",1882,"attention",5.35
"152",1882,"due",4.13
"153",1882,"matter",3.86
"154",1882,"that",3.81
"155",1883,"attention",5.25
"156",1883,"due",4.11
"157",1883,"matter",3.9
"158",1883,"that",3.8
"159",1884,"attention",5.06
"160",1884,"due",4.1
"161",1884,"matter",4.09
"162",1884,"that",3.81
"163",1885,"attention",5.16
"164",1885,"due",4.15
"165",1885,"matter",4.04
"166",1885,"that",3.79
"167",1886,"attention",5.1
"168",1886,"matter",4.25
"169",1886,"due",4.03
"170",1886,"that",3.78
"171",1887,"attention",5.05
"172",1887,"matter",4.28
"173",1887,"due",3.92
"174",1887,"that",3.79
"175",1888,"attention",5.05
"176",1888,"matter",4.39
"177",1888,"that",3.82
"178",1888,"due",3.74
"179",1889,"matter",4.4
"180",1889,"that",3.82
"181",1889,"due",3.7
"182",1890,"matter",4.41
"183",1890,"that",3.84
"184",1890,"due",3.69
"185",1891,"matter",4.54
"186",1891,"that",3.84
"187",1891,"due",3.62
"188",1892,"matter",4.61
"189",1892,"that",3.86
"190",1892,"due",3.62
"191",1893,"matter",4.86
"192",1893,"that",3.89
"193",1893,"due",3.73
"194",1894,"matter",4.98
"195",1894,"that",3.88
"196",1894,"due",3.7
"197",1895,"matter",5.2
"198",1895,"that",3.9
"199",1895,"due",3.64
"200",1896,"matter",5.09
"201",1896,"that",3.92
"202",1896,"due",3.65
"203",1897,"matter",5.09
"204",1897,"owing",4.07
"205",1897,"that",3.94
"206",1897,"due",3.78
"207",1898,"matter",5.17
"208",1898,"owing",4.18
"209",1898,"that",3.96
"210",1898,"due",3.87
"211",1899,"matter",5.3
"212",1899,"lies",4.82
"213",1899,"owing",4.29
"214",1899,"that",3.94
"215",1899,"due",3.88
"216",1900,"matter",5.25
"217",1900,"owing",4.51
"218",1900,"that",3.95
"219",1900,"due",3.95
"220",1901,"matter",5.26
"221",1901,"owing",4.54
"222",1901,"due",4.04
"223",1901,"that",3.98
"224",1902,"matter",5.26
"225",1902,"owing",4.73
"226",1902,"due",4.15
"227",1902,"that",3.98
"228",1903,"matter",5.08
"229",1903,"owing",4.82
"230",1903,"due",4.05
"231",1903,"that",3.96
"232",1904,"matter",5.02
"233",1904,"owing",4.89
"234",1904,"due",4.02
"235",1904,"that",3.98
"236",1905,"owing",5.01
"237",1905,"matter",4.95
"238",1905,"that",4.01
"239",1905,"due",3.98
"240",1906,"matter",5.32
"241",1906,"owing",5.01
"242",1906,"that",4.01
"243",1906,"due",3.94
"244",1907,"matter",5.41
"245",1907,"owing",5.05
"246",1907,"attention",4.94
"247",1907,"that",3.99
"248",1907,"due",3.85
"249",1907,"important",3.71
"250",1908,"matter",5.41
"251",1908,"owing",5.05
"252",1908,"attention",4.94
"253",1908,"that",3.99
"254",1908,"due",3.85
"255",1908,"important",3.71
"256",1909,"owing",5.22
"257",1909,"matter",5.21
"258",1909,"attention",5
"259",1909,"that",3.99
"260",1909,"due",3.96
"261",1909,"important",3.88
"262",1910,"owing",5.26
"263",1910,"matter",5.02
"264",1910,"that",4
"265",1910,"due",3.94
"266",1910,"important",3.57
"267",1911,"owing",5.13
"268",1911,"matter",4.99
"269",1911,"that",3.97
"270",1911,"due",3.96
"271",1911,"important",3.51
"272",1912,"owing",5.13
"273",1912,"matter",5.04
"274",1912,"that",3.96
"275",1912,"due",3.91
"276",1913,"matter",5.13
"277",1913,"owing",5.11
"278",1913,"that",3.97
"279",1913,"due",3.88
"280",1914,"owing",5.14
"281",1914,"matter",5.1
"282",1914,"attention",5.05
"283",1914,"that",3.97
"284",1914,"due",3.89
"285",1915,"matter",5.21
"286",1915,"attention",5.07
"287",1915,"owing",4.98
"288",1915,"that",3.94
"289",1915,"due",3.91
"290",1915,"view",3.09
"291",1916,"matter",5.17
"292",1916,"owing",4.93
"293",1916,"that",3.94
"294",1916,"due",3.89
"295",1916,"view",3.1
"296",1917,"matter",5.02
"297",1917,"owing",4.96
"298",1917,"due",3.99
"299",1917,"that",3.98
"300",1917,"view",3.39
"301",1918,"owing",4.98
"302",1918,"matter",4.93
"303",1918,"due",4.16
"304",1918,"that",4.02
"305",1918,"view",3.77
"306",1919,"spite",6.18
"307",1919,"matter",4.97
"308",1919,"owing",4.88
"309",1919,"that",4.08
"310",1919,"due",4
"311",1919,"view",3.75
"312",1920,"spite",6.27
"313",1920,"matter",5.02
"314",1920,"owing",4.83
"315",1920,"that",4.07
"316",1920,"due",4.03
"317",1920,"view",3.72
"318",1921,"spite",6.5
"319",1921,"matter",5.25
"320",1921,"owing",4.96
"321",1921,"due",4.16
"322",1921,"that",4.09
"323",1921,"view",3.85
"324",1922,"spite",6.47
"325",1922,"matter",5.14
"326",1922,"owing",4.9
"327",1922,"due",4.28
"328",1922,"that",4.14
"329",1922,"view",3.85
"330",1923,"spite",6.59
"331",1923,"matter",5.1
"332",1923,"owing",4.96
"333",1923,"due",4.38
"334",1923,"that",4.18
"335",1923,"view",3.76
"336",1924,"spite",6.52
"337",1924,"matter",5.01
"338",1924,"owing",4.7
"339",1924,"due",4.37
"340",1924,"that",4.19
"341",1924,"view",3.91
"342",1925,"matter",4.88
"343",1925,"owing",4.81
"344",1925,"due",4.4
"345",1925,"that",4.21
"346",1925,"view",3.89
"347",1926,"owing",4.79
"348",1926,"due",4.44
"349",1926,"that",4.22
"350",1926,"view",3.99
"351",1927,"owing",4.73
"352",1927,"due",4.45
"353",1927,"that",4.22
"354",1927,"view",3.9
"355",1928,"owing",4.73
"356",1928,"due",4.3
"357",1928,"that",4.21
"358",1928,"lies",3.76
"359",1928,"view",3.68
"360",1929,"owing",4.86
"361",1929,"due",4.48
"362",1929,"that",4.2
"363",1929,"lies",3.76
"364",1929,"view",3.66
"365",1930,"owing",4.97
"366",1930,"due",4.39
"367",1930,"that",4.21
"368",1930,"lies",3.91
"369",1930,"view",3.74
"370",1931,"owing",5.01
"371",1931,"due",4.28
"372",1931,"that",4.21
"373",1931,"view",3.71
"374",1932,"owing",5.01
"375",1932,"due",4.26
"376",1932,"that",4.17
"377",1932,"view",3.71
"378",1933,"owing",4.99
"379",1933,"due",4.27
"380",1933,"that",4.15
"381",1933,"view",3.64
"382",1934,"owing",5.06
"383",1934,"due",4.31
"384",1934,"that",4.15
"385",1934,"view",3.55
"386",1935,"owing",5.09
"387",1935,"due",4.3
"388",1935,"that",4.12
"389",1935,"view",3.5
"390",1936,"owing",5.29
"391",1936,"due",4.33
"392",1936,"that",4.06
"393",1936,"view",3.31
"394",1937,"owing",5.36
"395",1937,"due",4.34
"396",1937,"that",4.03
"397",1937,"view",3.54
"398",1938,"owing",4.95
"399",1938,"due",4.1
"400",1938,"that",3.84
"401",1938,"view",3.53
"402",1939,"owing",4.65
"403",1939,"that",3.82
"404",1939,"due",3.8
"405",1939,"view",3.51
"406",1940,"that",3.79
"407",1940,"due",3.75
"408",1940,"view",3.32
"409",1941,"spite",6.35
"410",1941,"view",3.85
"411",1941,"that",3.82
"412",1941,"due",3.66
"413",1942,"spite",6.56
"414",1942,"that",3.87
"415",1942,"view",3.68
"416",1942,"due",3.66
"417",1943,"spite",6.47
"418",1943,"that",3.91
"419",1943,"view",3.72
"420",1943,"due",3.6
"421",1944,"spite",6.33
"422",1944,"that",3.87
"423",1944,"view",3.62
"424",1944,"due",3.61
"425",1945,"spite",6.38
"426",1945,"that",3.87
"427",1945,"view",3.61
"428",1945,"due",3.59
"429",1945,"do",3.24
"430",1946,"spite",6.39
"431",1946,"that",3.88
"432",1946,"view",3.62
"433",1946,"due",3.61
"434",1946,"do",3.26
"435",1947,"spite",6.35
"436",1947,"that",3.87
"437",1947,"view",3.56
"438",1947,"due",3.49
"439",1947,"do",3.35
"440",1948,"spite",6.55
"441",1948,"that",3.94
"442",1948,"due",3.64
"443",1948,"view",3.52
"444",1948,"do",3.4
"445",1949,"spite",6.49
"446",1949,"that",3.9
"447",1949,"view",3.59
"448",1949,"due",3.46
"449",1949,"do",3.46
