No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,important,527,0.07,9,171,5.11
2,mentioned,510,0.06,7,122,4.79
3,known,985,0.12,10,205,4.36
4,already,1007,0.12,10,223,4.33
5,these,7999,0.99,62,294,3.97
6,many,1394,0.17,9,218,3.71
7,appear,1127,0.14,7,209,3.65
8,several,1335,0.17,7,238,3.41
9,observed,2187,0.27,10,238,3.21
10,have,11131,1.38,42,306,2.93
11,observed,2187,0.27,7,238,2.69
12,following,2894,0.36,9,282,2.65
13,been,6459,0.80,17,292,2.41
14,all,5200,0.64,10,292,1.96
15,other,6331,0.78,12,300,1.94
16,upon,3860,0.48,7,258,1.87
17,which,25196,3.11,44,311,1.82
18,that,27105,3.35,42,307,1.65
19,from,18844,2.33,29,311,1.64
20,we,10434,1.29,14,275,1.44
21,i,12398,1.53,16,300,1.38
22,are,17275,2.14,22,305,1.36
23,will,6205,0.77,7,289,1.19
24,same,6605,0.82,7,295,1.10
25,to,60669,7.50,63,312,1.07
26,two,7853,0.97,7,294,0.85
27,these,7999,0.99,7,294,0.82
28,the,281938,34.85,233,315,0.74
29,at,17118,2.12,14,309,0.73
30,be,25436,3.14,20,310,0.67
31,but,10206,1.26,8,304,0.66
32,or,14077,1.74,11,305,0.66
33,with,22221,2.75,17,311,0.63
34,as,23265,2.88,16,309,0.48
35,to,60669,7.50,41,312,0.45
36,we,10434,1.29,7,275,0.44
37,it,22501,2.78,15,307,0.43
38,in,73397,9.07,44,314,0.28
39,of,178551,22.07,99,315,0.17
40,by,27474,3.40,15,315,0.14
41,with,22221,2.75,12,311,0.13
42,are,17275,2.14,9,305,0.08
43,this,15858,1.96,8,307,0.03
44,on,20446,2.53,10,315,-0.02
45,is,37390,4.62,18,308,-0.04
46,for,15052,1.86,7,315,-0.09
47,that,27105,3.35,12,307,-0.16
48,the,281938,34.85,116,315,-0.27
49,and,73563,9.09,30,315,-0.28
50,and,73563,9.09,29,315,-0.33
51,as,23265,2.88,9,309,-0.35
52,from,18844,2.33,7,311,-0.41
53,of,178551,22.07,62,315,-0.51
54,by,27474,3.40,9,315,-0.59
55,a,59231,7.32,18,312,-0.70
56,which,25196,3.11,7,311,-0.83
57,in,73397,9.07,10,314,-1.86
58,a,59231,7.32,8,312,-1.87
