No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,seem,572,0.05,9,113,5.45
2,these,7897,0.71,50,169,4.14
3,observed,1795,0.16,10,135,3.95
4,observed,1795,0.16,9,135,3.80
5,some,3956,0.36,10,170,2.81
6,all,4575,0.41,11,168,2.74
7,are,21485,1.93,30,170,1.96
8,that,25681,2.31,35,171,1.92
9,with,19067,1.71,21,170,1.61
10,two,7047,0.63,7,169,1.47
11,not,9644,0.87,9,171,1.38
12,to,53106,4.77,49,171,1.36
13,from,18351,1.65,16,171,1.28
14,we,9211,0.83,8,162,1.27
15,it,19520,1.76,16,171,1.19
16,be,20582,1.85,16,171,1.11
17,for,16863,1.52,11,170,0.86
18,the,274817,24.71,171,171,0.79
19,for,16863,1.52,10,170,0.72
20,at,14488,1.30,8,171,0.62
21,by,22433,2.02,11,171,0.45
22,which,18357,1.65,9,170,0.45
23,in,74114,6.66,36,171,0.43
24,as,21454,1.93,10,171,0.37
25,to,53106,4.77,24,171,0.33
26,with,19067,1.71,8,170,0.22
27,this,16971,1.53,7,171,0.20
28,that,25681,2.31,10,171,0.11
29,of,149879,13.48,58,171,0.11
30,a,62688,5.64,24,171,0.09
31,the,274817,24.71,89,171,-0.15
32,in,74114,6.66,24,171,-0.15
33,by,22433,2.02,7,171,-0.20
34,is,47638,4.28,13,171,-0.40
35,and,71548,6.43,19,171,-0.44
36,of,149879,13.48,37,171,-0.54
37,and,71548,6.43,12,171,-1.10
38,a,62688,5.64,8,171,-1.49
