No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,these,12621,1.41,91,310,4.01
2,many,2156,0.24,12,266,3.64
3,described,2666,0.30,13,257,3.45
4,observed,2876,0.32,14,259,3.44
5,observed,2876,0.32,13,259,3.34
6,other,8562,0.96,16,307,2.06
7,all,8655,0.97,15,309,1.95
8,are,30736,3.44,53,311,1.95
9,there,8458,0.95,13,308,1.78
10,that,45087,5.05,67,311,1.73
11,may,11566,1.29,17,310,1.72
12,which,34339,3.84,50,312,1.70
13,have,17155,1.92,24,310,1.64
14,two,11338,1.27,13,310,1.36
15,from,28311,3.17,32,312,1.34
16,with,34037,3.81,34,313,1.16
17,we,21120,2.36,20,298,1.08
18,not,18303,2.05,17,311,1.05
19,to,96356,10.78,89,313,1.04
20,be,39673,4.44,36,314,1.02
21,it,33814,3.78,30,312,0.99
22,with,34037,3.81,30,313,0.98
23,from,28311,3.17,24,312,0.92
24,the,461322,51.63,371,313,0.85
25,i,17975,2.01,14,308,0.80
26,as,39913,4.47,28,313,0.65
27,to,96356,10.78,62,313,0.52
28,on,36421,4.08,23,314,0.50
29,of,261663,29.28,159,314,0.44
30,are,30736,3.44,18,311,0.39
31,in,117415,13.14,62,314,0.24
32,this,28942,3.24,15,311,0.21
33,this,28942,3.24,12,311,-0.11
34,of,261663,29.28,106,314,-0.14
35,by,42102,4.71,17,313,-0.15
36,and,114090,12.77,46,314,-0.15
37,the,461322,51.63,177,313,-0.22
38,be,39673,4.44,15,314,-0.24
39,that,45087,5.05,17,311,-0.25
40,by,42102,4.71,15,313,-0.33
41,in,117415,13.14,36,314,-0.55
42,as,39913,4.47,12,313,-0.57
43,is,72275,8.09,20,312,-0.69
44,is,72275,8.09,18,312,-0.85
45,a,112225,12.56,23,314,-1.13
46,and,114090,12.77,22,314,-1.22
47,a,112225,12.56,19,314,-1.40
