No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,explain,197,0.02,9,84,6.80
2,recorded,587,0.06,10,118,5.37
3,experimental,757,0.08,12,113,5.27
4,actual,800,0.08,9,166,4.77
5,following,1993,0.20,18,221,4.46
6,these,9074,0.93,64,232,4.10
7,known,1213,0.12,8,190,4.00
8,show,2056,0.21,8,216,3.24
9,observed,2400,0.25,9,188,3.19
10,above,3260,0.34,9,220,2.75
11,all,5844,0.60,13,232,2.44
12,may,7123,0.73,15,229,2.36
13,that,32325,3.32,47,232,1.82
14,other,5582,0.57,8,230,1.80
15,have,11468,1.18,16,232,1.76
16,with,23414,2.41,28,233,1.54
17,are,23466,2.41,28,231,1.54
18,i,9513,0.98,10,231,1.35
19,been,8843,0.91,9,231,1.31
20,two,7905,0.81,8,230,1.30
21,be,25738,2.65,24,233,1.18
22,which,23558,2.42,21,232,1.12
23,we,11239,1.16,9,225,0.96
24,from,21479,2.21,17,234,0.94
25,by,27995,2.88,22,232,0.93
26,to,67051,6.89,52,234,0.92
27,the,325638,33.48,244,233,0.87
28,on,24110,2.48,18,234,0.86
29,we,11239,1.16,8,225,0.79
30,not,12847,1.32,9,232,0.77
31,have,11468,1.18,8,232,0.76
32,not,12847,1.32,8,232,0.60
33,of,180425,18.55,109,234,0.55
34,it,23290,2.39,14,231,0.55
35,as,26692,2.74,15,232,0.45
36,at,21681,2.23,12,232,0.43
37,in,90514,9.31,50,234,0.43
38,with,23414,2.41,12,233,0.32
39,by,27995,2.88,14,232,0.28
40,for,22090,2.27,11,234,0.28
41,to,67051,6.89,30,234,0.12
42,for,22090,2.27,9,234,-0.01
43,the,325638,33.48,131,233,-0.03
44,this,20974,2.16,8,232,-0.11
45,is,51483,5.29,19,233,-0.16
46,a,74487,7.66,22,234,-0.48
47,and,80594,8.29,23,234,-0.53
48,of,180425,18.55,44,234,-0.75
49,in,90514,9.31,22,234,-0.76
50,and,80594,8.29,19,234,-0.80
51,is,51483,5.29,10,233,-1.08
52,a,74487,7.66,13,234,-1.24
