No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,numerous,87,0.00,3,33,7.93
2,seem,267,0.01,3,104,6.32
3,many,1111,0.04,5,234,5.00
4,these,2871,0.10,9,278,4.47
5,are,5084,0.18,5,292,2.80
6,have,5242,0.18,5,324,2.76
7,may,3512,0.12,3,310,2.60
8,from,8650,0.30,6,343,2.30
9,which,12127,0.43,7,340,2.03
10,to,29659,1.05,12,368,1.52
11,be,12891,0.45,5,344,1.46
12,i,10932,0.39,4,348,1.38
13,to,29659,1.05,10,368,1.26
14,by,12511,0.44,4,370,1.18
15,by,12511,0.44,3,370,0.77
16,a,25470,0.90,6,378,0.74
17,that,15074,0.53,3,350,0.50
18,that,15074,0.53,3,350,0.50
19,in,28008,0.99,5,374,0.34
20,a,25470,0.90,4,378,0.16
21,of,65685,2.32,10,382,0.11
22,of,65685,2.32,10,382,0.11
23,the,109430,3.86,14,379,-0.14
24,the,109430,3.86,12,379,-0.36
25,and,31210,1.10,3,369,-0.55
