https://example.com/collocation-analysis
There are 3334643 different words in your collocation database for "fact". (Your query returned 7403 matches in 229 different texts)
__________________

No.	Word	Total no. in whole corpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Mutual information value

1	matter	703	0.37	56	136	5.26
2	owing	741	0.39	41	165	4.73
3	due	2522	1.31	93	211	4.15
4	that	31766	16.52	1045	226	3.98
5	this	20353	10.58	150	226	1.83
6	in	86466	44.96	547	229	1.60
7	they	5602	2.91	33	221	1.50
8	all	5886	3.06	33	225	1.43
9	by	28382	14.76	145	226	1.30
10	has	7380	3.84	36	225	1.23
11	is	50767	26.40	230	227	1.12
12	to	65944	34.29	286	229	1.06
13	from	20241	10.53	79	228	0.91
14	the	320366	166.59	1220	228	0.87
15	it	23503	12.22	87	225	0.83
16	we	13234	6.88	47	218	0.77
17	as	26486	13.77	92	227	0.74
18	is	50767	26.40	171	227	0.70
19	it	23503	12.22	72	225	0.56
20	be	25656	13.34	78	228	0.55
21	have	11401	5.93	33	225	0.48
22	the	320366	166.59	850	228	0.35
23	are	22537	11.72	59	225	0.33
24	which	23344	12.14	61	227	0.33
25	for	22230	11.56	54	227	0.22
26	this	20353	10.58	49	226	0.21
27	be	25656	13.34	58	228	0.12
28	a	78655	40.90	177	229	0.11
29	in	86466	44.96	182	229	0.02
30	with	23357	12.15	48	227	-0.02
31	was	21067	10.95	42	222	-0.06
32	are	22537	11.72	43	225	-0.12
33	at	21627	11.25	41	227	-0.13
34	and	80917	42.08	142	229	-0.25
35	to	65944	34.29	115	229	-0.25
36	as	26486	13.77	46	227	-0.26
37	a	78655	40.90	132	229	-0.31
38	on	24083	12.52	40	229	-0.32
39	with	23357	12.15	37	227	-0.39
40	for	22230	11.56	34	227	-0.44
41	of	176808	91.94	268	229	-0.46
42	of	176808	91.94	265	229	-0.47
43	by	28382	14.76	41	226	-0.53
44	and	80917	42.08	45	229	-1.90
